,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.958,1.0,0.92,0.962,0.958,0.958,0.0,8.0
1,0.833,0.847,0.676,0.843,0.833,0.832,0.0,8.0
2,0.913,0.955,0.826,0.913,0.913,0.913,0.0,8.0
3,0.957,0.97,0.916,0.96,0.957,0.956,0.0,8.0
4,0.913,0.939,0.826,0.913,0.913,0.913,0.0,8.0
5,0.739,0.803,0.477,0.739,0.739,0.739,0.0,8.0
6,0.826,0.97,0.699,0.872,0.826,0.822,0.0,8.0
7,0.87,0.97,0.74,0.872,0.87,0.869,0.0,8.0
8,0.913,0.97,0.84,0.926,0.913,0.913,0.0,8.0
9,0.957,1.0,0.916,0.96,0.957,0.956,0.0,8.0
10,0.875,0.868,0.753,0.878,0.875,0.875,1.0,16.0
11,0.667,0.785,0.338,0.671,0.667,0.664,1.0,16.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0
13,0.913,0.962,0.826,0.913,0.913,0.913,1.0,16.0
14,0.826,0.97,0.699,0.872,0.826,0.822,1.0,16.0
15,0.913,0.977,0.826,0.913,0.913,0.913,1.0,16.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0
17,0.913,0.992,0.837,0.925,0.913,0.912,1.0,16.0
18,0.826,0.962,0.699,0.872,0.826,0.822,1.0,16.0
19,0.957,0.992,0.917,0.96,0.957,0.957,1.0,16.0
20,0.875,0.972,0.753,0.878,0.875,0.875,2.0,32.0
21,0.833,0.91,0.676,0.843,0.833,0.832,2.0,32.0
22,0.87,0.97,0.763,0.896,0.87,0.867,2.0,32.0
23,0.826,0.841,0.659,0.835,0.826,0.824,2.0,32.0
24,0.87,0.977,0.742,0.873,0.87,0.87,2.0,32.0
25,0.87,0.909,0.742,0.873,0.87,0.87,2.0,32.0
26,0.913,0.947,0.84,0.926,0.913,0.913,2.0,32.0
27,0.957,1.0,0.917,0.96,0.957,0.957,2.0,32.0
28,0.87,0.932,0.742,0.873,0.87,0.87,2.0,32.0
29,0.87,0.962,0.742,0.873,0.87,0.87,2.0,32.0
30,0.875,0.979,0.775,0.9,0.875,0.873,3.0,64.0
31,0.833,0.958,0.676,0.843,0.833,0.832,3.0,64.0
32,1.0,1.0,1.0,1.0,1.0,1.0,3.0,64.0
33,0.913,0.909,0.826,0.913,0.913,0.913,3.0,64.0
34,0.783,0.917,0.565,0.784,0.783,0.782,3.0,64.0
35,0.913,0.932,0.84,0.926,0.913,0.913,3.0,64.0
36,0.87,0.856,0.742,0.873,0.87,0.87,3.0,64.0
37,0.87,0.985,0.768,0.898,0.87,0.868,3.0,64.0
38,0.783,0.917,0.565,0.784,0.783,0.782,3.0,64.0
39,0.87,0.939,0.742,0.873,0.87,0.87,3.0,64.0
40,0.917,0.979,0.833,0.917,0.917,0.917,4.0,128.0
41,0.875,0.878,0.753,0.878,0.875,0.875,4.0,128.0
42,0.783,0.924,0.565,0.784,0.783,0.782,4.0,128.0
43,0.957,0.992,0.916,0.96,0.957,0.956,4.0,128.0
44,0.87,0.894,0.768,0.898,0.87,0.868,4.0,128.0
45,0.957,0.985,0.917,0.96,0.957,0.957,4.0,128.0
46,0.913,0.97,0.84,0.926,0.913,0.913,4.0,128.0
47,0.913,0.985,0.826,0.913,0.913,0.913,4.0,128.0
48,0.913,0.947,0.826,0.913,0.913,0.913,4.0,128.0
49,0.87,0.879,0.74,0.872,0.87,0.869,4.0,128.0
50,0.875,0.91,0.775,0.9,0.875,0.873,5.0,256.0
51,0.958,0.938,0.92,0.962,0.958,0.958,5.0,256.0
52,0.87,0.977,0.742,0.873,0.87,0.87,5.0,256.0
53,0.913,0.962,0.826,0.913,0.913,0.913,5.0,256.0
54,0.957,0.992,0.916,0.96,0.957,0.956,5.0,256.0
55,1.0,1.0,1.0,1.0,1.0,1.0,5.0,256.0
56,0.87,0.856,0.742,0.873,0.87,0.87,5.0,256.0
57,0.87,0.939,0.742,0.873,0.87,0.87,5.0,256.0
58,0.739,0.947,0.516,0.775,0.739,0.733,5.0,256.0
59,0.913,0.955,0.84,0.926,0.913,0.913,5.0,256.0
60,0.917,0.972,0.845,0.929,0.917,0.916,6.0,1024.0
61,0.833,0.924,0.707,0.875,0.833,0.829,6.0,1024.0
62,0.913,0.977,0.826,0.913,0.913,0.913,6.0,1024.0
63,0.826,0.879,0.664,0.837,0.826,0.825,6.0,1024.0
64,0.87,0.856,0.742,0.873,0.87,0.87,6.0,1024.0
65,0.826,0.856,0.664,0.837,0.826,0.825,6.0,1024.0
66,0.913,0.97,0.84,0.926,0.913,0.913,6.0,1024.0
67,0.87,0.977,0.768,0.898,0.87,0.868,6.0,1024.0
68,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1024.0
69,0.913,0.985,0.826,0.913,0.913,0.913,6.0,1024.0
70,0.792,0.931,0.585,0.794,0.792,0.791,7.0,2048.0
71,0.833,0.854,0.667,0.833,0.833,0.833,7.0,2048.0
72,0.913,0.97,0.837,0.925,0.913,0.912,7.0,2048.0
73,1.0,1.0,1.0,1.0,1.0,1.0,7.0,2048.0
74,0.913,0.992,0.84,0.926,0.913,0.913,7.0,2048.0
75,0.783,0.826,0.568,0.786,0.783,0.783,7.0,2048.0
76,0.913,0.97,0.826,0.913,0.913,0.913,7.0,2048.0
77,0.957,1.0,0.916,0.96,0.957,0.956,7.0,2048.0
78,0.87,0.939,0.742,0.873,0.87,0.87,7.0,2048.0
79,0.957,0.992,0.916,0.96,0.957,0.956,7.0,2048.0
80,0.792,0.833,0.585,0.794,0.792,0.791,8.0,4096.0
81,0.833,0.951,0.707,0.875,0.833,0.829,8.0,4096.0
82,0.957,0.97,0.917,0.96,0.957,0.957,8.0,4096.0
83,0.87,0.917,0.763,0.896,0.87,0.867,8.0,4096.0
84,0.957,1.0,0.917,0.96,0.957,0.957,8.0,4096.0
85,0.826,0.871,0.652,0.826,0.826,0.826,8.0,4096.0
86,0.913,0.985,0.826,0.913,0.913,0.913,8.0,4096.0
87,0.826,0.939,0.652,0.826,0.826,0.826,8.0,4096.0
88,0.87,0.97,0.74,0.872,0.87,0.869,8.0,4096.0
89,0.957,0.955,0.917,0.96,0.957,0.957,8.0,4096.0
90,0.917,0.958,0.845,0.929,0.917,0.916,9.0,8192.0
91,0.875,0.972,0.775,0.9,0.875,0.873,9.0,8192.0
92,0.87,0.909,0.742,0.873,0.87,0.87,9.0,8192.0
93,0.87,0.883,0.742,0.873,0.87,0.87,9.0,8192.0
94,0.957,1.0,0.917,0.96,0.957,0.957,9.0,8192.0
95,0.739,0.879,0.516,0.775,0.739,0.733,9.0,8192.0
96,0.913,0.955,0.826,0.913,0.913,0.913,9.0,8192.0
97,0.957,1.0,0.917,0.96,0.957,0.957,9.0,8192.0
98,0.913,0.977,0.826,0.913,0.913,0.913,9.0,8192.0
99,0.913,0.962,0.84,0.926,0.913,0.913,9.0,8192.0
