,x,y,v,Subtypes,colors,scatter_x,scatter_y,avg_imp,fold_00_imp,fold_01_imp,fold_02_imp,fold_03_imp,fold_04_imp,fold_05_imp,fold_06_imp,fold_07_imp,fold_08_imp,fold_09_imp
0,0,0,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_unclassified,cluster_04,#0010ff,1.9199926,0.5989254,-0.311019437192172,-0.3416848822599962,-0.30206742390172114,-0.3622621299455978,-0.2866500778008574,-0.3375466334957435,-0.31583023055176074,-0.2587734055179003,-0.31702754441806696,-0.3344275999367401,-0.25392444409333603
1,1,0,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca,cluster_04,#0010ff,1.943752,0.6489951,-0.3344074406761079,-0.36748945914617925,-0.3313131282656788,-0.3829722945995839,-0.31487247901653015,-0.3703395646905463,-0.3442442844813703,-0.2713116665770934,-0.31847959886587524,-0.3649582718148424,-0.2780936593033798
2,2,0,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cancerogenus,cluster_04,#0010ff,1.9662776,0.6405974,-0.334696483005414,-0.36793596394826855,-0.33162201503259814,-0.3833607777902638,-0.3150872398325256,-0.3709594576171371,-0.34443771628160125,-0.27158519509601664,-0.3187277613128275,-0.3649852734711996,-0.2782634296717019
3,3,0,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_mori,cluster_04,#0010ff,1.9720433,0.63425416,-0.33465873126363244,-0.3678223123483101,-0.33155537500349397,-0.38331057735287066,-0.3150413472693215,-0.3709417716957954,-0.3444386459328507,-0.27157656409361297,-0.31871762875908705,-0.3649196605092806,-0.2782634296717019
4,4,0,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei,cluster_04,#0010ff,1.985219,0.6834241,-0.3347122319787819,-0.367959272429118,-0.3316443454651959,-0.38339432435651605,-0.3150594054348254,-0.37096681721040126,-0.3444469734351386,-0.2716266004030198,-0.31872594239440283,-0.365035208987499,-0.2782634296717019
5,5,0,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica,cluster_03,#00fff6,2.988852,1.4591316,-0.33463667828411736,-0.36805552569300154,-0.3319639399006398,-0.38341030394605896,-0.3150401073693289,-0.37026177600519855,-0.344702509772164,-0.2721889931391896,-0.3176662857849238,-0.3647126998791666,-0.2783646413515023
6,6,0,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas_hippei,cluster_03,#00fff6,3.0383234,1.521331,-0.3279415099101911,-0.3642378229998148,-0.328798274873685,-0.3761589045603501,-0.3087498211345733,-0.3577564913958596,-0.33951551357087706,-0.26787136542694023,-0.31256645939437616,-0.3494855640896297,-0.2742748816558053
7,7,0,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens,cluster_03,#00fff6,3.0721943,1.4257402,-0.3136550095042813,-0.3431084141882486,-0.31168983301859576,-0.3584737655167508,-0.2980959097940382,-0.34244254368789323,-0.3220681856875146,-0.27240844399847325,-0.28447048268638636,-0.34665993756580116,-0.25713257889911123
8,8,0,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified,cluster_03,#00fff6,3.0858119,1.2210814,-0.07190996965339087,-0.055130601547346114,0.03938932099019236,-0.13552735351325068,0.029439063635542013,-0.12209937827734407,0.06553661455681924,-0.0992907613658596,-0.17284243858951082,-0.08217644618818305,-0.186397716234968
9,9,0,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii,cluster_03,#00fff6,3.101397,1.4870268,-0.3342971256929932,-0.3686040791655254,-0.3311281948593923,-0.3814864946669196,-0.3154580994016105,-0.3686319739174049,-0.34496837863804913,-0.2727733589047873,-0.31721883587700095,-0.3654851442284586,-0.27721669727078346
10,10,0,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Hahellaceae|g__Hahellaceae_unclassified,cluster_03,#00fff6,3.3695674,1.6329291,-0.33512872454635917,-0.36857165380033075,-0.33264170286989336,-0.3842659280954788,-0.31623128635327646,-0.3705137314757436,-0.34429419874631984,-0.2716395870808252,-0.31882432505406744,-0.36579670769277867,-0.27850812429487776
11,11,0,k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_phaeobacteroides,cluster_03,#00fff6,3.4956124,1.6949325,-0.2935021999363664,-0.31211459107404244,-0.30850496001645994,-0.33691569871300386,-0.2847458389602084,-0.299981026399576,-0.3047809354570845,-0.24660061275027698,-0.28616090789263027,-0.3227919857755718,-0.23242544232480986
