,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.909,0.889,0.671,0.918,0.909,0.896,0.0,8.0
1,0.909,0.944,0.671,0.918,0.909,0.896,0.0,8.0
2,0.909,0.944,0.671,0.918,0.909,0.896,0.0,8.0
3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0
4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0
5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0
6,0.636,0.833,0.083,0.636,0.636,0.636,0.0,8.0
7,0.909,1.0,0.77,0.919,0.909,0.903,0.0,8.0
8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0
9,0.727,0.792,0.0,0.529,0.727,0.612,0.0,8.0
10,0.909,0.889,0.77,0.939,0.909,0.916,1.0,16.0
11,0.909,1.0,0.671,0.918,0.909,0.896,1.0,16.0
12,0.818,0.778,0.0,0.669,0.818,0.736,1.0,16.0
13,0.909,1.0,0.671,0.918,0.909,0.896,1.0,16.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0
15,0.727,1.0,0.0,0.529,0.727,0.612,1.0,16.0
16,0.909,0.958,0.77,0.919,0.909,0.903,1.0,16.0
17,0.818,0.958,0.516,0.855,0.818,0.783,1.0,16.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0
19,0.818,0.875,0.542,0.818,0.818,0.818,1.0,16.0
20,0.909,1.0,0.671,0.918,0.909,0.896,2.0,32.0
21,0.818,0.889,0.389,0.818,0.818,0.818,2.0,32.0
22,0.909,1.0,0.671,0.918,0.909,0.896,2.0,32.0
23,0.909,0.944,0.77,0.939,0.909,0.916,2.0,32.0
24,0.909,1.0,0.671,0.918,0.909,0.896,2.0,32.0
25,0.636,0.833,-0.194,0.509,0.636,0.566,2.0,32.0
26,0.818,1.0,0.516,0.855,0.818,0.783,2.0,32.0
27,0.909,1.0,0.77,0.919,0.909,0.903,2.0,32.0
28,0.818,0.792,0.542,0.818,0.818,0.818,2.0,32.0
29,1.0,1.0,1.0,1.0,1.0,1.0,2.0,32.0
30,1.0,1.0,1.0,1.0,1.0,1.0,3.0,64.0
31,0.818,0.889,0.389,0.818,0.818,0.818,3.0,64.0
32,0.818,0.889,0.389,0.818,0.818,0.818,3.0,64.0
33,0.818,0.944,0.389,0.818,0.818,0.818,3.0,64.0
34,0.818,0.944,0.389,0.818,0.818,0.818,3.0,64.0
35,0.818,0.917,0.516,0.855,0.818,0.783,3.0,64.0
36,0.727,0.958,0.0,0.529,0.727,0.612,3.0,64.0
37,0.909,1.0,0.77,0.919,0.909,0.903,3.0,64.0
38,0.909,1.0,0.77,0.919,0.909,0.903,3.0,64.0
39,0.818,1.0,0.516,0.855,0.818,0.783,3.0,64.0
