,x,y,v,Subtypes,colors,scatter_x,scatter_y,avg_imp,fold_00_imp,fold_01_imp,fold_02_imp,fold_03_imp,fold_04_imp,fold_05_imp,fold_06_imp,fold_07_imp,fold_08_imp,fold_09_imp
0,0,0,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis|s__Anaerofustis_stercorihominis,cluster_05,#00b5ff,-2.9987886,-3.587447,-0.14121636927537146,-0.11486022792737878,-0.15642136863914594,-0.11058847449983077,-0.14752279134670407,-0.1521450393211756,-0.21374681811420243,-0.06897433678298964,-0.2244744081804782,-0.10905109093151759,-0.11437913701029156
1,1,0,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii,cluster_05,#00b5ff,-2.9512093,-3.4641697,-0.14180380434981602,-0.11505719464001019,-0.15670055546678907,-0.11073512251425825,-0.1483351238656096,-0.15319152228551175,-0.21602037406645724,-0.06915021261185238,-0.22430587178140415,-0.10964767325398905,-0.1148943930122784
2,2,0,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica,cluster_06,#0010ff,-2.5999877,-3.3893626,-0.14161115442148514,-0.11544405544273416,-0.15690195867612444,-0.1108195624521324,-0.14735680751020683,-0.15226520165645901,-0.21539719224006287,-0.06931632454743307,-0.22452953171520276,-0.10926509416740483,-0.11481581580709115
3,3,0,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_dolichum,cluster_02,#b3ff00,-2.4837396,-3.3806076,-0.14252008022090945,-0.11576280014997639,-0.15772303082058955,-0.11099816121956867,-0.14895257164291814,-0.15309345346424022,-0.21750060065869192,-0.06949394693090197,-0.2266025337930083,-0.11002277285560401,-0.11505093067359545
4,4,0,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_23,cluster_02,#b3ff00,-1.6419603,-3.6387422,-0.14266993926528598,-0.11584340032654908,-0.15775323006602446,-0.1110344868107821,-0.14902651232993522,-0.15321006667324036,-0.21790614814470746,-0.0695406447865798,-0.22710284687011453,-0.11005751412241528,-0.1152245425225115
5,5,0,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetales_noname|g__Tropheryma|s__Tropheryma_whipplei,cluster_02,#b3ff00,-1.5779991,-3.6358585,-0.14149233411214088,-0.11544318988338492,-0.1564978771207714,-0.11103959574994024,-0.1476571002400904,-0.15206520662879752,-0.2148672328992123,-0.06922713749733421,-0.22388040222763755,-0.10944904400496937,-0.11479655486927078
6,6,0,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis,cluster_02,#b3ff00,-1.4673718,-3.6603606,-0.14233934842700063,-0.11573554801516248,-0.1569887315865623,-0.11082663381589958,-0.14874127650055247,-0.15274497744143037,-0.2174266470648626,-0.06944648331783494,-0.2264316367404814,-0.10986361197800212,-0.1151879378092182
7,7,0,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname|s__candidate_division_TM7_single_cell_isolate_TM7c,cluster_06,#0010ff,-0.74453247,-3.6259098,-0.14261626252395412,-0.11583685844341123,-0.1577359030408732,-0.1110310630549895,-0.1489815791571343,-0.1531000484190501,-0.21785949334545152,-0.0695320750620906,-0.22685072343819226,-0.11002124480232159,-0.11521363647602677
8,8,0,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii,cluster_06,#0010ff,-0.72708935,-3.6467175,-0.13960127252015966,-0.11479532936510008,-0.15418039117522955,-0.11008483673961117,-0.1456041752850315,-0.1495126645826544,-0.21037249935842423,-0.06898476394810937,-0.22107047073753192,-0.10783052995575332,-0.11357706405415123
9,9,0,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname|f__Candidatus_Saccharibacteria_noname|g__Candidatus_Saccharibacteria_noname_unclassified,cluster_06,#0010ff,-0.7005296,-3.628747,-0.14247292575312223,-0.11572592033589467,-0.15762011418752123,-0.11092049900852592,-0.14888935602608,-0.15307461790436028,-0.2172631267060717,-0.0694953768101334,-0.22664658664619333,-0.10996500375841342,-0.11512865614802816
