,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.615,0.647,0.15,0.615,0.615,0.615,0.0,8.0
1,0.692,0.745,0.32,0.692,0.692,0.692,0.0,8.0
2,0.538,0.503,-0.15,0.474,0.538,0.497,0.0,8.0
3,0.72,0.699,0.336,0.712,0.72,0.715,0.0,8.0
4,0.6,0.667,0.089,0.581,0.6,0.587,0.0,8.0
5,0.6,0.576,0.089,0.581,0.6,0.587,0.0,8.0
6,0.56,0.618,0.021,0.549,0.56,0.554,0.0,8.0
7,0.64,0.66,0.164,0.618,0.64,0.619,0.0,8.0
8,0.72,0.618,0.379,0.714,0.72,0.716,0.0,8.0
9,0.68,0.597,0.306,0.68,0.68,0.68,0.0,8.0
10,0.615,0.693,0.195,0.637,0.615,0.623,1.0,16.0
11,0.577,0.569,0.04,0.566,0.577,0.571,1.0,16.0
12,0.538,0.569,-0.263,0.398,0.538,0.458,1.0,16.0
13,0.56,0.522,0.021,0.574,0.56,0.566,1.0,16.0
14,0.64,0.743,0.086,0.597,0.64,0.558,1.0,16.0
15,0.72,0.743,0.359,0.712,0.72,0.704,1.0,16.0
16,0.6,0.528,0.089,0.581,0.6,0.587,1.0,16.0
17,0.72,0.66,0.379,0.714,0.72,0.716,1.0,16.0
18,0.68,0.715,0.306,0.68,0.68,0.68,1.0,16.0
19,0.52,0.451,-0.097,0.494,0.52,0.504,1.0,16.0
20,0.654,0.641,0.138,0.619,0.654,0.609,2.0,32.0
21,0.692,0.719,0.32,0.692,0.692,0.692,2.0,32.0
22,0.615,0.536,-0.01,0.542,0.615,0.548,2.0,32.0
23,0.76,0.772,0.418,0.75,0.76,0.75,2.0,32.0
24,0.6,0.59,0.042,0.56,0.6,0.565,2.0,32.0
25,0.72,0.729,0.355,0.727,0.72,0.685,2.0,32.0
26,0.56,0.639,0.113,0.593,0.56,0.569,2.0,32.0
27,0.6,0.549,0.042,0.56,0.6,0.565,2.0,32.0
28,0.6,0.66,0.175,0.621,0.6,0.607,2.0,32.0
29,0.76,0.785,0.46,0.755,0.76,0.752,2.0,32.0
30,0.615,0.673,0.105,0.596,0.615,0.602,3.0,64.0
31,0.615,0.66,0.105,0.596,0.615,0.602,3.0,64.0
32,0.462,0.392,-0.259,0.428,0.462,0.443,3.0,64.0
33,0.64,0.596,0.011,0.57,0.64,0.581,3.0,64.0
34,0.6,0.597,0.089,0.581,0.6,0.587,3.0,64.0
35,0.8,0.896,0.554,0.805,0.8,0.789,3.0,64.0
36,0.6,0.528,0.089,0.581,0.6,0.587,3.0,64.0
37,0.76,0.854,0.458,0.768,0.76,0.739,3.0,64.0
38,0.68,0.701,0.306,0.68,0.68,0.68,3.0,64.0
39,0.52,0.493,-0.097,0.494,0.52,0.504,3.0,64.0
40,0.615,0.523,0.105,0.596,0.615,0.602,4.0,128.0
41,0.654,0.719,0.299,0.687,0.654,0.662,4.0,128.0
42,0.654,0.654,0.093,0.609,0.654,0.573,4.0,128.0
43,0.6,0.603,0.081,0.6,0.6,0.6,4.0,128.0
44,0.56,0.604,0.068,0.571,0.56,0.564,4.0,128.0
45,0.68,0.854,0.306,0.68,0.68,0.68,4.0,128.0
46,0.56,0.59,0.068,0.571,0.56,0.564,4.0,128.0
47,0.52,0.361,-0.167,0.456,0.52,0.478,4.0,128.0
48,0.8,0.882,0.582,0.848,0.8,0.775,4.0,128.0
49,0.72,0.764,0.379,0.714,0.72,0.716,4.0,128.0
50,0.731,0.725,0.391,0.725,0.731,0.727,5.0,256.0
