,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.636,0.729,0.306,0.672,0.636,0.617,0.0,8.0
1,0.682,0.742,0.37,0.688,0.682,0.679,0.0,8.0
2,0.773,0.738,0.545,0.773,0.773,0.773,0.0,8.0
3,0.75,0.791,0.505,0.755,0.75,0.749,0.0,8.0
4,0.682,0.733,0.365,0.683,0.682,0.681,0.0,8.0
5,0.75,0.81,0.505,0.755,0.75,0.749,0.0,8.0
6,0.705,0.711,0.41,0.705,0.705,0.704,0.0,8.0
7,0.568,0.611,0.141,0.572,0.568,0.568,0.0,8.0
8,0.773,0.839,0.545,0.774,0.773,0.772,0.0,8.0
9,0.636,0.71,0.275,0.639,0.636,0.636,0.0,8.0
10,0.682,0.744,0.365,0.683,0.682,0.681,1.0,16.0
11,0.841,0.888,0.688,0.847,0.841,0.84,1.0,16.0
12,0.545,0.56,0.091,0.545,0.545,0.545,1.0,16.0
13,0.705,0.76,0.413,0.708,0.705,0.703,1.0,16.0
14,0.682,0.736,0.365,0.683,0.682,0.681,1.0,16.0
15,0.705,0.779,0.41,0.705,0.705,0.704,1.0,16.0
16,0.795,0.773,0.596,0.801,0.795,0.794,1.0,16.0
17,0.614,0.66,0.224,0.613,0.614,0.613,1.0,16.0
18,0.636,0.749,0.291,0.652,0.636,0.632,1.0,16.0
19,0.659,0.733,0.315,0.66,0.659,0.656,1.0,16.0
20,0.568,0.655,0.137,0.568,0.568,0.568,2.0,32.0
21,0.659,0.771,0.327,0.668,0.659,0.655,2.0,32.0
22,0.795,0.851,0.592,0.796,0.795,0.795,2.0,32.0
23,0.773,0.791,0.555,0.782,0.773,0.771,2.0,32.0
24,0.614,0.669,0.228,0.614,0.614,0.613,2.0,32.0
25,0.841,0.913,0.683,0.842,0.841,0.841,2.0,32.0
26,0.705,0.717,0.413,0.708,0.705,0.703,2.0,32.0
27,0.568,0.681,0.133,0.567,0.568,0.568,2.0,32.0
28,0.75,0.772,0.507,0.761,0.75,0.745,2.0,32.0
29,0.659,0.747,0.316,0.659,0.659,0.659,2.0,32.0
30,0.614,0.68,0.229,0.616,0.614,0.612,3.0,64.0
31,0.568,0.626,0.144,0.576,0.568,0.557,3.0,64.0
32,0.727,0.841,0.455,0.727,0.727,0.727,3.0,64.0
33,0.773,0.837,0.548,0.775,0.773,0.772,3.0,64.0
34,0.727,0.826,0.456,0.729,0.727,0.727,3.0,64.0
35,0.705,0.705,0.41,0.705,0.705,0.704,3.0,64.0
36,0.705,0.767,0.413,0.708,0.705,0.703,3.0,64.0
37,0.705,0.791,0.408,0.707,0.705,0.702,3.0,64.0
38,0.614,0.538,0.223,0.613,0.614,0.611,3.0,64.0
39,0.568,0.7,0.133,0.567,0.568,0.568,3.0,64.0
40,0.705,0.781,0.41,0.705,0.705,0.704,4.0,128.0
41,0.75,0.773,0.505,0.755,0.75,0.749,4.0,128.0
42,0.614,0.7,0.228,0.614,0.614,0.613,4.0,128.0
43,0.591,0.64,0.182,0.591,0.591,0.591,4.0,128.0
44,0.727,0.715,0.462,0.735,0.727,0.725,4.0,128.0
45,0.682,0.767,0.378,0.696,0.682,0.676,4.0,128.0
46,0.727,0.808,0.462,0.735,0.727,0.725,4.0,128.0
47,0.636,0.673,0.282,0.644,0.636,0.635,4.0,128.0
48,0.659,0.689,0.319,0.66,0.659,0.659,4.0,128.0
49,0.864,0.93,0.731,0.867,0.864,0.864,4.0,128.0
50,0.727,0.802,0.455,0.727,0.727,0.727,5.0,256.0
51,0.568,0.634,0.149,0.582,0.568,0.549,5.0,256.0
52,0.705,0.798,0.413,0.708,0.705,0.703,5.0,256.0
53,0.636,0.696,0.274,0.638,0.636,0.636,5.0,256.0
54,0.727,0.822,0.462,0.735,0.727,0.725,5.0,256.0
55,0.659,0.643,0.321,0.662,0.659,0.657,5.0,256.0
56,0.773,0.818,0.548,0.775,0.773,0.772,5.0,256.0
57,0.705,0.731,0.408,0.707,0.705,0.702,5.0,256.0
58,0.659,0.615,0.319,0.66,0.659,0.659,5.0,256.0
59,0.682,0.671,0.362,0.682,0.682,0.682,5.0,256.0
60,0.614,0.678,0.228,0.614,0.614,0.613,6.0,1024.0
61,0.568,0.647,0.137,0.568,0.568,0.568,6.0,1024.0
62,0.795,0.833,0.592,0.796,0.795,0.795,6.0,1024.0
63,0.75,0.795,0.505,0.755,0.75,0.749,6.0,1024.0
64,0.636,0.616,0.283,0.647,0.636,0.629,6.0,1024.0
65,0.773,0.884,0.548,0.775,0.773,0.772,6.0,1024.0
66,0.614,0.655,0.228,0.614,0.614,0.613,6.0,1024.0
67,0.727,0.749,0.457,0.733,0.727,0.724,6.0,1024.0
68,0.705,0.791,0.425,0.719,0.705,0.702,6.0,1024.0
69,0.727,0.708,0.458,0.73,0.727,0.727,6.0,1024.0
70,0.682,0.709,0.365,0.683,0.682,0.681,7.0,2048.0
71,0.705,0.748,0.42,0.716,0.705,0.701,7.0,2048.0
72,0.659,0.694,0.327,0.668,0.659,0.655,7.0,2048.0
73,0.727,0.791,0.455,0.727,0.727,0.727,7.0,2048.0
74,0.614,0.684,0.229,0.616,0.614,0.612,7.0,2048.0
75,0.682,0.731,0.37,0.688,0.682,0.679,7.0,2048.0
76,0.636,0.717,0.274,0.638,0.636,0.636,7.0,2048.0
77,0.773,0.851,0.549,0.776,0.773,0.773,7.0,2048.0
78,0.591,0.714,0.207,0.612,0.591,0.581,7.0,2048.0
79,0.568,0.72,0.13,0.567,0.568,0.565,7.0,2048.0
80,0.682,0.775,0.364,0.682,0.682,0.682,8.0,4096.0
81,0.705,0.705,0.41,0.705,0.705,0.704,8.0,4096.0
82,0.636,0.702,0.273,0.636,0.636,0.636,8.0,4096.0
83,0.636,0.733,0.274,0.638,0.636,0.636,8.0,4096.0
84,0.727,0.731,0.455,0.727,0.727,0.727,8.0,4096.0
85,0.75,0.843,0.501,0.751,0.75,0.75,8.0,4096.0
86,0.727,0.822,0.462,0.735,0.727,0.725,8.0,4096.0
87,0.636,0.696,0.291,0.652,0.636,0.632,8.0,4096.0
88,0.614,0.725,0.228,0.615,0.614,0.614,8.0,4096.0
89,0.705,0.673,0.41,0.706,0.705,0.705,8.0,4096.0
90,0.591,0.707,0.189,0.598,0.591,0.583,9.0,8192.0
91,0.682,0.717,0.365,0.683,0.682,0.681,9.0,8192.0
92,0.727,0.674,0.456,0.729,0.727,0.727,9.0,8192.0
93,0.727,0.816,0.455,0.727,0.727,0.727,9.0,8192.0
94,0.682,0.742,0.37,0.688,0.682,0.679,9.0,8192.0
95,0.682,0.727,0.364,0.682,0.682,0.682,9.0,8192.0
96,0.682,0.775,0.365,0.683,0.682,0.681,9.0,8192.0
97,0.614,0.681,0.233,0.618,0.614,0.613,9.0,8192.0
98,0.636,0.702,0.27,0.638,0.636,0.632,9.0,8192.0
99,0.773,0.81,0.557,0.784,0.773,0.772,9.0,8192.0
