,auc,mcc,pres,recall,f1,i,repeat_seed
0,,0.266,0.5,0.5,0.489,0.0,8.0
1,,0.381,0.516,0.571,0.522,0.0,8.0
2,,-0.186,0.153,0.214,0.179,0.0,8.0
3,,0.128,0.357,0.429,0.39,0.0,8.0
4,,0.524,0.679,0.692,0.68,0.0,8.0
5,,0.454,0.676,0.615,0.6,0.0,8.0
6,,0.306,0.503,0.538,0.515,0.0,8.0
7,,0.193,0.359,0.462,0.403,0.0,8.0
8,,0.222,0.346,0.462,0.376,0.0,8.0
9,,0.315,0.564,0.538,0.533,0.0,8.0
10,,0.009,0.277,0.357,0.308,1.0,16.0
11,,0.242,0.5,0.5,0.497,1.0,16.0
12,,0.129,0.367,0.429,0.393,1.0,16.0
13,,0.36,0.434,0.571,0.492,1.0,16.0
14,,0.291,0.538,0.538,0.538,1.0,16.0
15,,0.312,0.404,0.538,0.462,1.0,16.0
16,,0.3,0.551,0.538,0.539,1.0,16.0
17,,0.312,0.585,0.538,0.556,1.0,16.0
18,,0.09,0.508,0.385,0.425,1.0,16.0
19,,0.337,0.619,0.538,0.544,1.0,16.0
20,,0.589,0.768,0.714,0.727,2.0,32.0
21,,0.133,0.387,0.429,0.391,2.0,32.0
22,,0.274,0.5,0.5,0.458,2.0,32.0
23,,0.685,0.814,0.786,0.794,2.0,32.0
24,,0.189,0.481,0.462,0.468,2.0,32.0
25,,0.429,0.623,0.615,0.615,2.0,32.0
26,,0.177,0.452,0.462,0.441,2.0,32.0
27,,0.177,0.449,0.462,0.427,2.0,32.0
28,,0.458,0.747,0.615,0.599,2.0,32.0
29,,0.178,0.425,0.462,0.432,2.0,32.0
30,,0.381,0.516,0.571,0.522,3.0,64.0
31,,0.242,0.488,0.5,0.491,3.0,64.0
32,,0.362,0.596,0.571,0.579,3.0,64.0
33,,0.24,0.417,0.5,0.455,3.0,64.0
34,,0.159,0.474,0.462,0.463,3.0,64.0
35,,0.773,0.859,0.846,0.844,3.0,64.0
36,,0.418,0.603,0.615,0.605,3.0,64.0
37,,0.185,0.343,0.462,0.393,3.0,64.0
38,,0.091,0.365,0.385,0.359,3.0,64.0
39,,0.182,0.436,0.462,0.445,3.0,64.0
40,,0.461,0.619,0.643,0.627,4.0,128.0
41,,0.462,0.643,0.643,0.643,4.0,128.0
42,,0.505,0.752,0.643,0.607,4.0,128.0
43,,0.594,0.779,0.714,0.672,4.0,128.0
44,,0.173,0.462,0.462,0.462,4.0,128.0
45,,0.418,0.654,0.615,0.627,4.0,128.0
46,,0.182,0.474,0.462,0.463,4.0,128.0
47,,0.423,0.61,0.615,0.609,4.0,128.0
48,,0.188,0.462,0.462,0.462,4.0,128.0
49,,0.189,0.472,0.462,0.464,4.0,128.0
50,,0.391,0.706,0.571,0.571,5.0,256.0
51,,0.129,0.367,0.429,0.393,5.0,256.0
52,,0.461,0.619,0.643,0.627,5.0,256.0
53,,0.14,0.417,0.429,0.418,5.0,256.0
54,,0.355,0.577,0.538,0.52,5.0,256.0
55,,0.317,0.632,0.538,0.527,5.0,256.0
56,,0.18,0.374,0.462,0.41,5.0,256.0
57,,0.423,0.636,0.615,0.62,5.0,256.0
58,,-0.145,0.308,0.231,0.254,5.0,256.0
59,,0.614,0.846,0.692,0.67,5.0,256.0
60,,0.723,0.878,0.786,0.793,6.0,1024.0
61,,0.68,0.786,0.786,0.78,6.0,1024.0
62,,0.468,0.662,0.643,0.639,6.0,1024.0
63,,0.468,0.633,0.643,0.619,6.0,1024.0
64,,0.764,0.846,0.846,0.846,6.0,1024.0
65,,0.343,0.531,0.538,0.5,6.0,1024.0
66,,0.306,0.518,0.538,0.524,6.0,1024.0
67,,0.317,0.521,0.538,0.48,6.0,1024.0
68,,0.2,0.494,0.462,0.467,6.0,1024.0
69,,0.193,0.359,0.462,0.403,6.0,1024.0
70,,0.357,0.548,0.571,0.555,7.0,2048.0
71,,0.461,0.607,0.643,0.621,7.0,2048.0
72,,0.242,0.51,0.5,0.488,7.0,2048.0
73,,0.143,0.531,0.429,0.458,7.0,2048.0
74,,0.286,0.569,0.538,0.541,7.0,2048.0
75,,0.536,0.692,0.692,0.686,7.0,2048.0
76,,0.418,0.654,0.615,0.627,7.0,2048.0
77,,0.082,0.442,0.385,0.406,7.0,2048.0
78,,0.185,0.472,0.462,0.451,7.0,2048.0
79,,0.436,0.647,0.615,0.617,7.0,2048.0
80,,-0.05,0.482,0.286,0.331,8.0,4096.0
81,,0.148,0.355,0.429,0.388,8.0,4096.0
82,,0.468,0.633,0.643,0.619,8.0,4096.0
83,,0.382,0.579,0.571,0.529,8.0,4096.0
84,,0.403,0.527,0.615,0.564,8.0,4096.0
85,,0.547,0.656,0.692,0.656,8.0,4096.0
86,,0.439,0.466,0.615,0.53,8.0,4096.0
87,,0.189,0.456,0.462,0.455,8.0,4096.0
88,,0.418,0.615,0.615,0.609,8.0,4096.0
89,,0.043,0.214,0.385,0.275,8.0,4096.0
90,,0.57,0.714,0.714,0.709,9.0,8192.0
91,,0.242,0.452,0.5,0.474,9.0,8192.0
92,,0.695,0.826,0.786,0.783,9.0,8192.0
93,,0.024,0.293,0.357,0.317,9.0,8192.0
94,,0.193,0.506,0.462,0.468,9.0,8192.0
95,,0.18,0.374,0.462,0.41,9.0,8192.0
96,,0.331,0.632,0.538,0.544,9.0,8192.0
97,,-0.045,0.308,0.308,0.308,9.0,8192.0
98,,-0.045,0.308,0.308,0.308,9.0,8192.0
99,,0.085,0.376,0.385,0.368,9.0,8192.0
