,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.699,-0.086,0.503,0.577,0.523,0.0,8.0
1,0.693,-0.086,0.503,0.577,0.523,0.0,8.0
2,0.536,-0.21,0.409,0.577,0.478,0.0,8.0
3,0.662,-0.14,0.453,0.64,0.531,0.0,8.0
4,0.736,0.272,0.787,0.68,0.584,0.0,8.0
5,0.66,0.272,0.787,0.68,0.584,0.0,8.0
6,0.743,0.086,0.597,0.64,0.558,0.0,8.0
7,0.542,0.0,0.41,0.64,0.5,0.0,8.0
8,0.542,0.236,0.676,0.68,0.625,0.0,8.0
9,0.653,0.272,0.787,0.68,0.584,0.0,8.0
10,0.634,0.243,0.686,0.692,0.638,1.0,16.0
11,0.51,0.243,0.686,0.692,0.638,1.0,16.0
12,0.647,0.0,0.428,0.654,0.517,1.0,16.0
13,0.485,-0.253,0.433,0.56,0.488,1.0,16.0
14,0.778,0.0,0.41,0.64,0.5,1.0,16.0
15,0.528,-0.153,0.4,0.6,0.48,1.0,16.0
16,0.562,0.086,0.597,0.64,0.558,1.0,16.0
17,0.882,0.492,0.825,0.76,0.719,1.0,16.0
18,0.833,0.393,0.805,0.72,0.656,1.0,16.0
19,0.66,-0.153,0.4,0.6,0.48,1.0,16.0
20,0.641,-0.01,0.542,0.615,0.548,2.0,32.0
21,0.784,0.243,0.686,0.692,0.638,2.0,32.0
22,0.542,0.0,0.428,0.654,0.517,2.0,32.0
23,0.581,0.011,0.57,0.64,0.581,2.0,32.0
24,0.694,0.0,0.41,0.64,0.5,2.0,32.0
25,0.729,0.272,0.787,0.68,0.584,2.0,32.0
26,0.507,-0.167,0.456,0.52,0.478,2.0,32.0
27,0.722,0.393,0.805,0.72,0.656,2.0,32.0
28,0.681,0.127,0.607,0.64,0.595,2.0,32.0
29,0.854,0.0,0.41,0.64,0.5,2.0,32.0
30,0.693,0.0,0.428,0.654,0.517,3.0,64.0
31,0.725,0.093,0.609,0.654,0.573,3.0,64.0
32,0.634,0.243,0.686,0.692,0.638,3.0,64.0
33,0.669,0.0,0.462,0.68,0.55,3.0,64.0
34,0.528,0.272,0.787,0.68,0.584,3.0,64.0
35,0.833,0.0,0.41,0.64,0.5,3.0,64.0
36,0.562,-0.221,0.39,0.56,0.459,3.0,64.0
37,0.639,-0.153,0.4,0.6,0.48,3.0,64.0
38,0.528,-0.221,0.39,0.56,0.459,3.0,64.0
39,0.458,-0.153,0.4,0.6,0.48,3.0,64.0
40,0.719,-0.146,0.418,0.615,0.498,4.0,128.0
41,0.725,0.093,0.609,0.654,0.573,4.0,128.0
42,0.719,0.0,0.428,0.654,0.517,4.0,128.0
43,0.478,-0.202,0.443,0.6,0.51,4.0,128.0
44,0.701,0.127,0.607,0.64,0.595,4.0,128.0
45,0.75,0.086,0.597,0.64,0.558,4.0,128.0
46,0.646,0.393,0.805,0.72,0.656,4.0,128.0
47,0.562,0.0,0.41,0.64,0.5,4.0,128.0
48,0.792,0.0,0.41,0.64,0.5,4.0,128.0
49,0.757,0.272,0.787,0.68,0.584,4.0,128.0
50,0.745,0.275,0.791,0.692,0.599,5.0,256.0
51,0.49,0.0,0.428,0.654,0.517,5.0,256.0
52,0.542,0.093,0.609,0.654,0.573,5.0,256.0
53,0.618,0.114,0.633,0.68,0.608,5.0,256.0
54,0.562,0.355,0.727,0.72,0.685,5.0,256.0
55,0.743,0.355,0.727,0.72,0.685,5.0,256.0
56,0.701,0.0,0.41,0.64,0.5,5.0,256.0
57,0.75,0.236,0.676,0.68,0.625,5.0,256.0
58,0.611,-0.277,0.378,0.52,0.438,5.0,256.0
59,0.576,0.086,0.597,0.64,0.558,5.0,256.0
60,0.601,-0.146,0.418,0.615,0.498,6.0,1024.0
61,0.765,0.275,0.791,0.692,0.599,6.0,1024.0
62,0.614,-0.146,0.418,0.615,0.498,6.0,1024.0
63,0.515,0.274,0.708,0.72,0.674,6.0,1024.0
64,0.868,0.0,0.41,0.64,0.5,6.0,1024.0
65,0.604,-0.021,0.527,0.6,0.532,6.0,1024.0
66,0.562,0.272,0.787,0.68,0.584,6.0,1024.0
67,0.465,-0.1,0.486,0.56,0.505,6.0,1024.0
68,0.736,0.272,0.787,0.68,0.584,6.0,1024.0
69,0.639,0.086,0.597,0.64,0.558,6.0,1024.0
70,0.758,0.0,0.428,0.654,0.517,7.0,2048.0
71,0.673,-0.01,0.542,0.615,0.548,7.0,2048.0
72,0.451,-0.146,0.418,0.615,0.498,7.0,2048.0
73,0.676,0.298,0.802,0.72,0.635,7.0,2048.0
74,0.632,0.236,0.676,0.68,0.625,7.0,2048.0
