,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.715,0.365,0.683,0.682,0.681,0.0,8.0
1,0.723,0.327,0.668,0.659,0.655,0.0,8.0
2,0.7,0.321,0.662,0.659,0.657,0.0,8.0
3,0.764,0.42,0.716,0.705,0.701,0.0,8.0
4,0.733,0.189,0.598,0.591,0.583,0.0,8.0
5,0.775,0.42,0.716,0.705,0.701,0.0,8.0
6,0.711,0.327,0.668,0.659,0.655,0.0,8.0
7,0.652,0.141,0.572,0.568,0.568,0.0,8.0
8,0.872,0.636,0.818,0.818,0.818,0.0,8.0
9,0.783,0.458,0.73,0.727,0.727,0.0,8.0
10,0.764,0.319,0.659,0.659,0.659,1.0,16.0
11,0.872,0.545,0.773,0.773,0.773,1.0,16.0
12,0.599,0.046,0.523,0.523,0.52,1.0,16.0
13,0.754,0.327,0.668,0.659,0.655,1.0,16.0
14,0.748,0.273,0.636,0.636,0.636,1.0,16.0
15,0.74,0.274,0.638,0.636,0.636,1.0,16.0
16,0.8,0.501,0.751,0.75,0.75,1.0,16.0
17,0.625,0.224,0.613,0.614,0.613,1.0,16.0
18,0.725,0.324,0.664,0.659,0.659,1.0,16.0
19,0.745,0.269,0.636,0.636,0.635,1.0,16.0
20,0.626,0.183,0.592,0.591,0.59,2.0,32.0
21,0.688,0.183,0.592,0.591,0.59,2.0,32.0
22,0.835,0.37,0.688,0.682,0.679,2.0,32.0
23,0.824,0.456,0.729,0.727,0.727,2.0,32.0
24,0.711,0.274,0.638,0.636,0.636,2.0,32.0
25,0.876,0.592,0.796,0.795,0.795,2.0,32.0
26,0.669,0.182,0.591,0.591,0.591,2.0,32.0
27,0.758,0.453,0.727,0.727,0.727,2.0,32.0
28,0.766,0.408,0.707,0.705,0.702,2.0,32.0
29,0.642,0.177,0.59,0.591,0.589,2.0,32.0
30,0.705,0.413,0.708,0.705,0.703,3.0,64.0
31,0.572,0.182,0.591,0.591,0.591,3.0,64.0
32,0.814,0.321,0.662,0.659,0.657,3.0,64.0
33,0.82,0.545,0.773,0.773,0.773,3.0,64.0
34,0.775,0.41,0.705,0.705,0.704,3.0,64.0
35,0.758,0.364,0.682,0.682,0.682,3.0,64.0
36,0.824,0.501,0.751,0.75,0.75,3.0,64.0
37,0.795,0.408,0.707,0.705,0.702,3.0,64.0
38,0.623,0.002,0.502,0.5,0.5,3.0,64.0
39,0.71,0.316,0.659,0.659,0.659,3.0,64.0
40,0.793,0.548,0.775,0.773,0.772,4.0,128.0
41,0.711,0.233,0.62,0.614,0.609,4.0,128.0
42,0.628,0.091,0.545,0.545,0.545,4.0,128.0
43,0.626,0.283,0.647,0.636,0.629,4.0,128.0
44,0.696,0.24,0.626,0.614,0.604,4.0,128.0
45,0.694,0.321,0.662,0.659,0.657,4.0,128.0
46,0.808,0.42,0.716,0.705,0.701,4.0,128.0
47,0.723,0.18,0.591,0.591,0.591,4.0,128.0
48,0.749,0.362,0.682,0.682,0.682,4.0,128.0
49,0.834,0.41,0.706,0.705,0.705,4.0,128.0
50,0.851,0.592,0.796,0.795,0.795,5.0,256.0
51,0.717,0.277,0.641,0.636,0.633,5.0,256.0
52,0.82,0.505,0.755,0.75,0.749,5.0,256.0
53,0.576,0.091,0.546,0.545,0.545,5.0,256.0
54,0.777,0.41,0.705,0.705,0.704,5.0,256.0
