"","metahit","metahit.1","metahit.2","metahit.3","metahit.4","metahit.5","metahit.6","metahit.7","metahit.8","metahit.9","metahit.10","metahit.11","metahit.12","metahit.13","metahit.14","metahit.15","metahit.16","metahit.17","metahit.18","metahit.19","metahit.20","metahit.21","metahit.22","metahit.23","metahit.24","metahit.25","metahit.26","metahit.27","metahit.28","metahit.29","metahit.30","metahit.31","metahit.32","metahit.33","metahit.34","metahit.35","metahit.36","metahit.37","metahit.38","metahit.39","metahit.40","metahit.41","metahit.42","metahit.43","metahit.44","metahit.45","metahit.46","metahit.47","metahit.48","metahit.49","metahit.50","metahit.51","metahit.52","metahit.53","metahit.54","metahit.55","metahit.56","metahit.57","metahit.58","metahit.59","metahit.60","metahit.61","metahit.62","metahit.63","metahit.64","metahit.65","metahit.66","metahit.67","metahit.68","metahit.69","metahit.70","metahit.71","metahit.72","metahit.73","metahit.74","metahit.75","metahit.76","metahit.77","metahit.78","metahit.79","metahit.80","metahit.81","metahit.82","metahit.83","metahit.84","metahit.85","metahit.86","metahit.87","metahit.88","metahit.89","metahit.90","metahit.91","metahit.92","metahit.93","metahit.94","metahit.95","metahit.96","metahit.97","metahit.98","metahit.99","metahit.100","metahit.101","metahit.102","metahit.103","metahit.104","metahit.105","metahit.106","metahit.107","metahit.108","metahit.109"
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii",0,0,0,0.0021411,0.0371458851416459,0.0038165,0.000449299910140018,0,0,0.00104880020976004,0.00112680011268001,0.0051914,0,0.000390400117120035,0.00102059959176016,0.00238880023888002,7.4900044940027e-05,0.000848000084800008,0,0.000725800217740065,0.00101639979672004,0,0,7.26999854600029e-05,0,0,0.00165310016531002,0,0,0,0,0,0,0,0.00103700062220037,0.000759099924090008,0.00155419968916006,0.00275069972493003,0.000728700145740029,0,0.0033359989992003,0,0.00037319985072006,3.52999964700004e-05,0.00432879870136039,0,0,0.00159509936196026,0,0.012384595046162,0.00151519984848002,0,0,0,0.00132900026580005,0.00122770024554005,0,0,0,0.00145579970884006,0,0.000516599896680021,2.4699995060001e-05,0.0193665,0,0.00329719934056013,0.00169600067840027,0,0,0,0,0,0.0345003138001255,0.0022791006837302,0.0133733066866533,0.000366900073380015,0,0,0,0.0124627062313531,0,0,0,0,0.00165430049629015,0,0,0,0.00232140023214002,0.0162925,0,0,0.000829600082960008,0,0,0,0.0690306069030607,0.0413142041314204,0.00381019847592061,0,0.00221930022193002,0,0.000723900434340261,0,0,0,7.40000370000185e-05,0,0.033162890051133,0.00181710018171002
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified",0,0,0,0.0006518,0.00294009882396047,0.0004903,0.000175299964940007,2.35999929200021e-05,0,0.000186400037280007,5.22000052200005e-05,0,0,0.000232300069690021,0,0.000255300025530003,1.76000105600063e-05,0.000133600013360001,0,2.2700006810002e-05,0.000111999977600004,0,0,0,0,0,0.000323200032320003,0,0,0,0,0,0,0,0,0,9.64999807000039e-05,0.000208999979100002,0.000352600070520014,0,0.00154019953794014,0,8.86999645200142e-05,0,0.00184239944728017,0,0,0.000228099908760037,0,0,0.000167599983240002,0,0,0,0,0,0,0,0,2.65999946800011e-05,0,0,0.000194299961140008,0,0,0,0,0,0,0,0,6.07999635200219e-05,0.00834840333936134,0.000569300170790051,0.00486570243285122,2.6200005240001e-05,0,0,0,0.00534300267150134,0,0,0,0,0.000869900260970078,0,0,0,0.000396200039620004,0.0032685,0,0,0.000166200016620002,0,0,0,0.0266168026616803,0.00647440064744007,0.000386299845480062,0,0.000186900018690002,0,4.90000294000176e-06,0,0,0,1.73000086500043e-05,0,0.000826199752140074,0.000569300056930006
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000233600023360002,0,0.000137200013720001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57000214200129e-05,0,0,0,0,0,0,0,0,0,0.000280399915880025,0,0,0,0,0,0,0,0,0,0,5.37000107400021e-05,0,0,0,0,0,0,0,0,0,0,0.00012330004932002,0,0,0,0,0,0,0,9.65000482500241e-05,0,0,0,0,0,0,0,0,0,4.4200013260004e-05,0,0,0,0.000216200021620002,0,0,0,1.41000014100001e-05,0,0,0,4.47000044700004e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcaceae_unclassified",0,0,0,0,0.000182799926880029,0,0,0,0,0,0,0,0,0,9.67999612800155e-05,0,0,0,0,0,0,0,0,0,0,0,4.50000045000004e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28999871300039e-05,0,0,0,7.42999777100067e-05,0,0,0,0,0.000115299953880018,0,0,0,0,3.89000077800016e-05,0,0,0,0,0,0,0,0,0,0,5.1099989780002e-05,0,0,0,0,0,0,0.000391400156560063,0,0,0,0,0,0,4.86000243000121e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000621000062100006,0.000322300032230003,0,0,0,0,0,0,0,0,0,0,3.45999896200031e-05,3.96000039600004e-05
"k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Methanocaldococcus_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152200015220002,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified",0,0,0,0,0,0,9.78999804200039e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.63e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09999958000008e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified",4.4499986650004e-05,0,2.24999955000009e-05,0.0001187,0,2.61e-05,0,0,0,0,6.13000061300006e-05,0.0013149,0,5.31000159300048e-05,0,0,6.31000378600227e-05,0,0,0,0.000444599911080018,7.25000290000116e-05,0.000186099962780007,0.000230999953800009,0.000139000013900001,0.000120800048320019,5.75000057500006e-05,0.000144499985550001,0,0,8.48000084800008e-05,0,0,0,0,8.71999912800009e-05,0.000115299976940005,0,0.000117800023560005,0,5.47999835600049e-05,0,0,0,0,0.000155299984470002,0,0,0.000201400040280008,7.36999705200118e-05,0,5.27000052700005e-05,0,3.14999905500028e-05,0,0,0.000118300011830001,0,0.0004592,0,0,4.45999910800018e-05,0,0,8.38000335200134e-05,0.000130599973880005,0,0.000403999919200016,0,0,0,6.96999581800251e-05,0.000299900119960048,5.97000179100054e-05,0,0,0,0,0,0,0,0,0.0002888,0.000369700258790181,0.00010990003297001,0.000216099978390002,0,0.00011320003396001,0,0,0,0,0.000296500029650003,0,5.98000179400054e-05,6.99000419400252e-05,0,0.000466100046610005,0.000284599886160046,0.000165300033060007,0,0.000526100105220021,7.75000465000279e-05,0,0.000211599936520019,0,6.20000310000155e-05,0,4.4199986740004e-05,0.000101100010110001
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159800095880058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_europaeus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152800091680055,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii",0,4.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06000070600007e-05,0,0,0,0,0,0,0,0,0,6.60000330000165e-06,0,3.72999888100034e-05,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus",0,0.0005378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101899979620004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91000195500098e-05,0,2.73999917800025e-05,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000516600361620253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetales_noname|g__Tropheryma|s__Tropheryma_whipplei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45000207000124e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89000195600078e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123200012320001,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_linens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54000190800038e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_unclassified",0,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148199970360006,0,0,0.000147600014760001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000127500025500005,0,0,0,0,0,0,0,0,0,0,0,0.000112200044880018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000397700238620143,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_aurimucosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7e-06,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified",0,0,0,0,0.000183099926760029,0,0,0,0,0,0,0,0,0,0,0,0.000148400089040053,0,0,0,0.000174399965120007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217500152250107,0,0,0,0,0.000185700018570002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000182300109380066,0,0,0,0.000291800145900073,0,0.000104099968770009,0.000118900011890001
