"","Chatelier_gut_obesity","Chatelier_gut_obesity.1","Chatelier_gut_obesity.2","Chatelier_gut_obesity.3","Chatelier_gut_obesity.4","Chatelier_gut_obesity.5","Chatelier_gut_obesity.6","Chatelier_gut_obesity.7","Chatelier_gut_obesity.8","Chatelier_gut_obesity.9","Chatelier_gut_obesity.10","Chatelier_gut_obesity.11","Chatelier_gut_obesity.12","Chatelier_gut_obesity.13","Chatelier_gut_obesity.14","Chatelier_gut_obesity.15","Chatelier_gut_obesity.16","Chatelier_gut_obesity.17","Chatelier_gut_obesity.18","Chatelier_gut_obesity.19","Chatelier_gut_obesity.20","Chatelier_gut_obesity.21","Chatelier_gut_obesity.22","Chatelier_gut_obesity.23","Chatelier_gut_obesity.24","Chatelier_gut_obesity.25","Chatelier_gut_obesity.26","Chatelier_gut_obesity.27","Chatelier_gut_obesity.28","Chatelier_gut_obesity.29","Chatelier_gut_obesity.30","Chatelier_gut_obesity.31","Chatelier_gut_obesity.32","Chatelier_gut_obesity.33","Chatelier_gut_obesity.34","Chatelier_gut_obesity.35","Chatelier_gut_obesity.36","Chatelier_gut_obesity.37","Chatelier_gut_obesity.38","Chatelier_gut_obesity.39","Chatelier_gut_obesity.40","Chatelier_gut_obesity.41","Chatelier_gut_obesity.42","Chatelier_gut_obesity.43","Chatelier_gut_obesity.44","Chatelier_gut_obesity.45","Chatelier_gut_obesity.46","Chatelier_gut_obesity.47","Chatelier_gut_obesity.48","Chatelier_gut_obesity.49","Chatelier_gut_obesity.50","Chatelier_gut_obesity.51","Chatelier_gut_obesity.52","Chatelier_gut_obesity.53","Chatelier_gut_obesity.54","Chatelier_gut_obesity.55","Chatelier_gut_obesity.56","Chatelier_gut_obesity.57","Chatelier_gut_obesity.58","Chatelier_gut_obesity.59","Chatelier_gut_obesity.60","Chatelier_gut_obesity.61","Chatelier_gut_obesity.62","Chatelier_gut_obesity.63","Chatelier_gut_obesity.64","Chatelier_gut_obesity.65","Chatelier_gut_obesity.66","Chatelier_gut_obesity.67","Chatelier_gut_obesity.68","Chatelier_gut_obesity.69","Chatelier_gut_obesity.70","Chatelier_gut_obesity.71","Chatelier_gut_obesity.72","Chatelier_gut_obesity.73","Chatelier_gut_obesity.74","Chatelier_gut_obesity.75","Chatelier_gut_obesity.76","Chatelier_gut_obesity.77","Chatelier_gut_obesity.78","Chatelier_gut_obesity.79","Chatelier_gut_obesity.80","Chatelier_gut_obesity.81","Chatelier_gut_obesity.82","Chatelier_gut_obesity.83","Chatelier_gut_obesity.84","Chatelier_gut_obesity.85","Chatelier_gut_obesity.86","Chatelier_gut_obesity.87","Chatelier_gut_obesity.88","Chatelier_gut_obesity.89","Chatelier_gut_obesity.90","Chatelier_gut_obesity.91","Chatelier_gut_obesity.92","Chatelier_gut_obesity.93","Chatelier_gut_obesity.94","Chatelier_gut_obesity.95","Chatelier_gut_obesity.96","Chatelier_gut_obesity.97","Chatelier_gut_obesity.98","Chatelier_gut_obesity.99","Chatelier_gut_obesity.100","Chatelier_gut_obesity.101","Chatelier_gut_obesity.102","Chatelier_gut_obesity.103","Chatelier_gut_obesity.104","Chatelier_gut_obesity.105","Chatelier_gut_obesity.106","Chatelier_gut_obesity.107","Chatelier_gut_obesity.108","Chatelier_gut_obesity.109","Chatelier_gut_obesity.110","Chatelier_gut_obesity.111","Chatelier_gut_obesity.112","Chatelier_gut_obesity.113","Chatelier_gut_obesity.114","Chatelier_gut_obesity.115","Chatelier_gut_obesity.116","Chatelier_gut_obesity.117","Chatelier_gut_obesity.118","Chatelier_gut_obesity.119","Chatelier_gut_obesity.120","Chatelier_gut_obesity.121","Chatelier_gut_obesity.122","Chatelier_gut_obesity.123","Chatelier_gut_obesity.124","Chatelier_gut_obesity.125","Chatelier_gut_obesity.126","Chatelier_gut_obesity.127","Chatelier_gut_obesity.128","Chatelier_gut_obesity.129","Chatelier_gut_obesity.130","Chatelier_gut_obesity.131","Chatelier_gut_obesity.132","Chatelier_gut_obesity.133","Chatelier_gut_obesity.134","Chatelier_gut_obesity.135","Chatelier_gut_obesity.136","Chatelier_gut_obesity.137","Chatelier_gut_obesity.138","Chatelier_gut_obesity.139","Chatelier_gut_obesity.140","Chatelier_gut_obesity.141","Chatelier_gut_obesity.142","Chatelier_gut_obesity.143","Chatelier_gut_obesity.144","Chatelier_gut_obesity.145","Chatelier_gut_obesity.146","Chatelier_gut_obesity.147","Chatelier_gut_obesity.148","Chatelier_gut_obesity.149","Chatelier_gut_obesity.150","Chatelier_gut_obesity.151","Chatelier_gut_obesity.152","Chatelier_gut_obesity.153","Chatelier_gut_obesity.154","Chatelier_gut_obesity.155","Chatelier_gut_obesity.156","Chatelier_gut_obesity.157","Chatelier_gut_obesity.158","Chatelier_gut_obesity.159","Chatelier_gut_obesity.160","Chatelier_gut_obesity.161","Chatelier_gut_obesity.162","Chatelier_gut_obesity.163","Chatelier_gut_obesity.164","Chatelier_gut_obesity.165","Chatelier_gut_obesity.166","Chatelier_gut_obesity.167","Chatelier_gut_obesity.168","Chatelier_gut_obesity.169","Chatelier_gut_obesity.170","Chatelier_gut_obesity.171","Chatelier_gut_obesity.172","Chatelier_gut_obesity.173","Chatelier_gut_obesity.174","Chatelier_gut_obesity.175","Chatelier_gut_obesity.176","Chatelier_gut_obesity.177","Chatelier_gut_obesity.178","Chatelier_gut_obesity.179","Chatelier_gut_obesity.180","Chatelier_gut_obesity.181","Chatelier_gut_obesity.182","Chatelier_gut_obesity.183","Chatelier_gut_obesity.184","Chatelier_gut_obesity.185","Chatelier_gut_obesity.186","Chatelier_gut_obesity.187","Chatelier_gut_obesity.188","Chatelier_gut_obesity.189","Chatelier_gut_obesity.190","Chatelier_gut_obesity.191","Chatelier_gut_obesity.192","Chatelier_gut_obesity.193","Chatelier_gut_obesity.194","Chatelier_gut_obesity.195","Chatelier_gut_obesity.196","Chatelier_gut_obesity.197","Chatelier_gut_obesity.198","Chatelier_gut_obesity.199","Chatelier_gut_obesity.200","Chatelier_gut_obesity.201","Chatelier_gut_obesity.202","Chatelier_gut_obesity.203","Chatelier_gut_obesity.204","Chatelier_gut_obesity.205","Chatelier_gut_obesity.206","Chatelier_gut_obesity.207","Chatelier_gut_obesity.208","Chatelier_gut_obesity.209","Chatelier_gut_obesity.210","Chatelier_gut_obesity.211","Chatelier_gut_obesity.212","Chatelier_gut_obesity.213","Chatelier_gut_obesity.214","Chatelier_gut_obesity.215","Chatelier_gut_obesity.216","Chatelier_gut_obesity.217","Chatelier_gut_obesity.218","Chatelier_gut_obesity.219","Chatelier_gut_obesity.220","Chatelier_gut_obesity.221","Chatelier_gut_obesity.222","Chatelier_gut_obesity.223","Chatelier_gut_obesity.224","Chatelier_gut_obesity.225","Chatelier_gut_obesity.226","Chatelier_gut_obesity.227","Chatelier_gut_obesity.228","Chatelier_gut_obesity.229","Chatelier_gut_obesity.230","Chatelier_gut_obesity.231","Chatelier_gut_obesity.232","Chatelier_gut_obesity.233","Chatelier_gut_obesity.234","Chatelier_gut_obesity.235","Chatelier_gut_obesity.236","Chatelier_gut_obesity.237","Chatelier_gut_obesity.238","Chatelier_gut_obesity.239","Chatelier_gut_obesity.240","Chatelier_gut_obesity.241","Chatelier_gut_obesity.242","Chatelier_gut_obesity.243","Chatelier_gut_obesity.244","Chatelier_gut_obesity.245","Chatelier_gut_obesity.246","Chatelier_gut_obesity.247","Chatelier_gut_obesity.248","Chatelier_gut_obesity.249","Chatelier_gut_obesity.250","Chatelier_gut_obesity.251","Chatelier_gut_obesity.252"
"k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobaceae_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.24000184800037e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii",0,0,0.0371448962855104,0.003816,0.000449300044930004,0,0,0.00112699988730001,0.0052047026023513,0,0.000390499960950004,0.00102069959172016,0.00238910071673022,7.49000374500187e-05,0.000850999404300417,0,0.000725799709680116,0.00101640020328004,0,0,7.26999927300007e-05,0,0,0.00165299983470002,0,0,0,0,0,0,0.00075909984818003,0.00155420031084006,0.00275020137510069,0.000728699781390066,0,0,0.0003733,3.52000105600032e-05,0.00432889956711004,0,0,0.00159509904294057,0,0.00151539924230038,0,0,0.00132909986709001,0,0,0,0.0014585,0,0.0005166,2.46999975300002e-05,0.0193606980639302,0,0.00329709934058013,0.00169610033922007,0,0,0,0,0,0,0,0,0,0,0,0,0.00701260140252028,0.00773300154660031,0.000377099886870034,0,0.011073896677831,0,0.00536849946315005,0,0,0,0.0114118045647218,0,0,0,0.000134700013470001,0,0.0199620960075808,0.00473039810784076,0.0105577,0,0,0.003091,0,0,0.000614100061410006,0.0044731986580404,0,0.0167552932978827,0,0,0.000810399918960008,0.0522112843366147,0.0357227,0,0,0.00188059981194002,0,0,0.000211199894400053,0,0,0,0,0.00462459953754005,0.00173379982662002,0,0.0025019994996001,0,0.0138438055375222,0.000288999942200012,0,0,0.0159248015924802,0,0.0131155026231005,0,0,0,0.0155328015532802,0.00290059912982026,0,0,0.00150000015000002,0,0,0,0,0,0.00158,0,0,0,0.00150829969834006,0,0,0,0,0.000226599977340002,0,0,0.0157184,0.000153700061480025,0.00484019903196019,0.00175319982468002,0,0.0131618986838101,0,0,0.00480000192000077,0.00792259920774008,0,0.00481459903708019,0,0,0,0,0.000299299820420108,0.00486269854119044,0,0.0507604304562583,0,0,0,0,4.45000044500004e-05,0,0,0,0,0.000665799933420007,0.0012514994994002,0,6.70000134000027e-05,1.32999893600085e-05,0,0.000934799813040037,0,0,0,0.000341200136480055,0,0,5.73e-05,0,0,0,0.000237999976200002,0.0058825,0.000233200093280037,0.000233300069990021,0,0.000176600052980016,0,0,0,0.00199649940105018,0.00449509775245112,0.00254779923566023,0,0,0.000963900289170087,0,0.00025569994886001,0.00586300351780211,0.00394939802530099,0.000449100089820018,7.34999559000265e-05,0,0.000487800048780005,0.00306250091875028,0,0,0,0,0,0.000245499975450002,0.00154149984585002,0.00359880071976014,0,0,0.00238169833281117,0.000281900056380011,0,0.00430470172188069,0.0008702,0.00271179945764011,0.00150180015018002,0.0019607,0.00097759990224001,0,0,0.00301080180648108,0.00112129977574004,0.00755459773362068,0.00103670020734004,0,0,0.00102649979470004,0.00381569885529034,0,0.000710899715640114,0,0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified",0,0,0.00293999970600003,0.0004919,0.000175300017530002,2.35999976400002e-05,0,5.21999947800005e-05,0,0,0.000232299976770002,0,0.000214000064200019,1.76000088000044e-05,0.000130599908580064,0,2.26999909200036e-05,0.000112000022400004,0,0,0,0,0,0.000323199967680003,0,0,0,0,0,0,0,9.65000193000039e-05,0.000209000104500052,0.000352599894220032,0,0,8.86e-05,0,0.00184239981576002,0,0,0.000228099863140082,0,0.000167599916200042,0,0,0,0,0,0,2.4e-05,0,0,0.000194299980570002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010969996709001,0,0,0,0,0,0,0,0,0,0,0,0.0050659989868002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00529409841177048,0.005726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48e-05,0.000231800092720037,0.000116399976720005,0,0,0,0,0.000436800087360017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014214,0,0,2.54999974500003e-05,0,0.00111429988857001,0,0,0.000642200256880103,0.00157989984201002,0,0,2.30999953800009e-05,0,0,0,6.42999614200231e-05,0,0,0.00681990409194246,0,0,0,0,0,0,0,0,0,0,0.000357899856840057,0,1.70000034000007e-06,0,0,0,0,0,0,1.02000040800016e-05,0,0,7.39e-05,0,0,0,5.29999947000005e-06,0,0,0,0,0,0,0,0,0,0,0.000216399935080019,0,0,0,0,0.000145099970980006,0,0.000782099608950196,0,5.99999640000216e-07,0,0.000110100011010001,0,0,0,0,0,0,2.49999975000002e-06,0.000118299988170001,0.000108000021600004,0,0,0.000152799893040075,0.000126000025200005,0,0.00118930047572019,9.3e-06,0,0.000358200035820004,0.000733,0.000174199982580002,8.79999912000009e-06,0,0.000134100080460048,0,0,0.000131400026280005,0,0,7.5999984800003e-05,0.000386899883930035,0,7.36999705200118e-05,0,0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0,0,0,0,0.000233600070080021,0,0.000137199903960067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000280399971960003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123300024660005,0,0,0,0,0,0,0,0,0,0,0,0,0.000378100075620015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044459986662004,0,0,0,0,0,0,0.0009043,0,0,0,0,0,6.05999697000152e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168480033696007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94999863500096e-05,0,0,0,0,0.000297899940420012,0,1.27e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcaceae_unclassified",0,0,0.000182799981720002,0,0,0,0,0,0,0,0,9.67999612800155e-05,0,0,0,0,0,0,0,0,0,0,0,4.49999955000004e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42999925700007e-05,0,0,0,0,0,0,0,3.88999961100004e-05,0,0,0,0,0,0,0,0,0,5.1099989780002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09999877000037e-05,0.0002548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52999984700002e-05,0,2.4499995100001e-05,0,0,0,0,0,0,0,2.2200013320008e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02000181200109e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified",0,0,0,0,9.7900009790001e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61999933800007e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123400012340001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified",0,2.24999977500002e-05,0,2.61e-05,0,0,0,6.12999938700006e-05,0.00131820065910033,0,5.30999946900005e-05,0,0,6.31000315500158e-05,0,0,0,0.000444600088920018,7.25000217500065e-05,0.00018609992556003,0.000230999976900002,0.000138999972200006,0.000120900012090001,5.74999942500006e-05,0.000144500057800023,0,8.47999830400034e-05,0,0,0,8.71999825600035e-05,0.000115300023060005,0,0.000117799964660011,0,0,0,0,0,0.000155299984470002,0,0,0.000201399979860002,0,5.27000158100047e-05,3.14999937000013e-05,0,4.38000087600018e-05,0,0.000459200137760041,0,0,4.46e-05,0,0,8.38000083800008e-05,0.000130499973900005,0,0.000403999959600004,0,0,0,0,0,0.000127800063900032,5.18999844300047e-05,4.02e-05,0,0,0,0,9.08000181600036e-05,0,5.33e-05,0.000134099959770012,0,0,0,0.000184700055410017,0,0,0,0,0,6.52000065200007e-05,0,7.86999842600032e-05,0,0,0,3.46999930600014e-05,0,0,0,0,0,0,0,0,0,0,0,6.51e-05,0.000182899981710002,5.74999827500052e-05,7.86999921300008e-05,0,0,0,0,0,0,0,0,4.38999956100004e-05,0,0,0,0.00303540121416049,4.23999915200017e-05,0,4.03000161200064e-05,0,0.000104200010420001,0,0,0,0,0,0,0,0,0,0,0,0.0001064,0,0,5.85e-05,3.29999868000053e-05,0,4.9400009880002e-05,0,6.8999972400011e-05,0,0,0,0,0,0,0,0,0,0,2.06999896500052e-05,0,0,0,0.000272600109040044,0,0,0,0,0,2.87000086100026e-05,5.73000114600023e-05,0,0,0,0,0,0,0,0,2.57000025700003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7199985120006e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72000463200278e-05,0,0,2.18999868600079e-05,0,0,0,0,0,0,0,0,0,0,0,0,5.18999792400083e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26999954600009e-05,0,2.01000120600072e-05,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii",4.9000009800002e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10000243000073e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71000051300015e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34000080400048e-05,0,0,0,2.84000227200182e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.10000091000009e-06,3.4e-06,0,0,0,0,2.93999941200012e-05,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus",0.000537700107540021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011479996556001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25999752200074e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57e-05,0,8.99999730000081e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40000352000282e-06,0,0,0,0,0,0,0,0,0,2.5600005120001e-05,0,0,0,0,0,0,0,0,0,8.9e-06,0,0,0,0,0.000113599977280005,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19999344000525e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
