"","t2dmeta_long","t2dmeta_long.1","t2dmeta_long.2","t2dmeta_long.3","t2dmeta_long.4","t2dmeta_long.5","t2dmeta_long.6","t2dmeta_long.7","t2dmeta_long.8","t2dmeta_long.9","t2dmeta_long.10","t2dmeta_long.11","t2dmeta_long.12","t2dmeta_long.13","t2dmeta_long.14","t2dmeta_long.15","t2dmeta_long.16","t2dmeta_long.17","t2dmeta_long.18","t2dmeta_long.19","t2dmeta_long.20","t2dmeta_long.21","t2dmeta_long.22","t2dmeta_long.23","t2dmeta_long.24","t2dmeta_long.25","t2dmeta_long.26","t2dmeta_long.27","t2dmeta_long.28","t2dmeta_long.29","t2dmeta_long.30","t2dmeta_long.31","t2dmeta_long.32","t2dmeta_long.33","t2dmeta_long.34","t2dmeta_long.35","t2dmeta_long.36","t2dmeta_long.37","t2dmeta_long.38","t2dmeta_long.39","t2dmeta_long.40","t2dmeta_long.41","t2dmeta_long.42","t2dmeta_long.43","t2dmeta_long.44","t2dmeta_long.45","t2dmeta_long.46","t2dmeta_long.47","t2dmeta_long.48","t2dmeta_long.49","t2dmeta_long.50","t2dmeta_long.51","t2dmeta_long.52","t2dmeta_long.53","t2dmeta_long.54","t2dmeta_long.55","t2dmeta_long.56","t2dmeta_long.57","t2dmeta_long.58","t2dmeta_long.59","t2dmeta_long.60","t2dmeta_long.61","t2dmeta_long.62","t2dmeta_long.63","t2dmeta_long.64","t2dmeta_long.65","t2dmeta_long.66","t2dmeta_long.67","t2dmeta_long.68","t2dmeta_long.69","t2dmeta_long.70","t2dmeta_long.71","t2dmeta_long.72","t2dmeta_long.73","t2dmeta_long.74","t2dmeta_long.75","t2dmeta_long.76","t2dmeta_long.77","t2dmeta_long.78","t2dmeta_long.79","t2dmeta_long.80","t2dmeta_long.81","t2dmeta_long.82","t2dmeta_long.83","t2dmeta_long.84","t2dmeta_long.85","t2dmeta_long.86","t2dmeta_long.87","t2dmeta_long.88","t2dmeta_long.89","t2dmeta_long.90","t2dmeta_long.91","t2dmeta_long.92","t2dmeta_long.93","t2dmeta_long.94","t2dmeta_long.95","t2dmeta_long.96","t2dmeta_long.97","t2dmeta_long.98","t2dmeta_long.99","t2dmeta_long.100","t2dmeta_long.101","t2dmeta_long.102","t2dmeta_long.103","t2dmeta_long.104","t2dmeta_long.105","t2dmeta_long.106","t2dmeta_long.107","t2dmeta_long.108","t2dmeta_long.109","t2dmeta_long.110","t2dmeta_long.111","t2dmeta_long.112","t2dmeta_long.113","t2dmeta_long.114","t2dmeta_long.115","t2dmeta_long.116","t2dmeta_long.117","t2dmeta_long.118","t2dmeta_long.119","t2dmeta_long.120","t2dmeta_long.121","t2dmeta_long.122","t2dmeta_long.123","t2dmeta_long.124","t2dmeta_long.125","t2dmeta_long.126","t2dmeta_long.127","t2dmeta_long.128","t2dmeta_long.129","t2dmeta_long.130","t2dmeta_long.131","t2dmeta_long.132","t2dmeta_long.133","t2dmeta_long.134","t2dmeta_long.135","t2dmeta_long.136","t2dmeta_long.137","t2dmeta_long.138","t2dmeta_long.139","t2dmeta_long.140","t2dmeta_long.141","t2dmeta_long.142","t2dmeta_long.143","t2dmeta_long.144","t2dmeta_long.145","t2dmeta_long.146","t2dmeta_long.147","t2dmeta_long.148","t2dmeta_long.149","t2dmeta_long.150","t2dmeta_long.151","t2dmeta_long.152","t2dmeta_long.153","t2dmeta_long.154","t2dmeta_long.155","t2dmeta_long.156","t2dmeta_long.157","t2dmeta_long.158","t2dmeta_long.159","t2dmeta_long.160","t2dmeta_long.161","t2dmeta_long.162","t2dmeta_long.163","t2dmeta_long.164","t2dmeta_long.165","t2dmeta_long.166","t2dmeta_long.167","t2dmeta_long.168","t2dmeta_long.169","t2dmeta_long.170","t2dmeta_long.171","t2dmeta_long.172","t2dmeta_long.173","t2dmeta_long.174","t2dmeta_long.175","t2dmeta_long.176","t2dmeta_long.177","t2dmeta_long.178","t2dmeta_long.179","t2dmeta_long.180","t2dmeta_long.181","t2dmeta_long.182","t2dmeta_long.183","t2dmeta_long.184","t2dmeta_long.185","t2dmeta_long.186","t2dmeta_long.187","t2dmeta_long.188","t2dmeta_long.189","t2dmeta_long.190","t2dmeta_long.191","t2dmeta_long.192","t2dmeta_long.193","t2dmeta_long.194","t2dmeta_long.195","t2dmeta_long.196","t2dmeta_long.197","t2dmeta_long.198","t2dmeta_long.199","t2dmeta_long.200","t2dmeta_long.201","t2dmeta_long.202","t2dmeta_long.203","t2dmeta_long.204","t2dmeta_long.205","t2dmeta_long.206","t2dmeta_long.207","t2dmeta_long.208","t2dmeta_long.209","t2dmeta_long.210","t2dmeta_long.211","t2dmeta_long.212","t2dmeta_long.213","t2dmeta_long.214","t2dmeta_long.215","t2dmeta_long.216","t2dmeta_long.217","t2dmeta_long.218","t2dmeta_long.219","t2dmeta_long.220","t2dmeta_long.221","t2dmeta_long.222","t2dmeta_long.223","t2dmeta_long.224","t2dmeta_long.225","t2dmeta_long.226","t2dmeta_long.227","t2dmeta_long.228","t2dmeta_long.229","t2dmeta_long.230","t2dmeta_long.231","t2dmeta_long.232","t2dmeta_long.233","t2dmeta_long.234","t2dmeta_long.235","t2dmeta_long.236","t2dmeta_long.237","t2dmeta_long.238","t2dmeta_long.239","t2dmeta_long.240","t2dmeta_long.241","t2dmeta_long.242","t2dmeta_long.243","t2dmeta_long.244","t2dmeta_long.245","t2dmeta_long.246","t2dmeta_long.247","t2dmeta_long.248","t2dmeta_long.249","t2dmeta_long.250","t2dmeta_long.251","t2dmeta_long.252","t2dmeta_long.253","t2dmeta_long.254","t2dmeta_long.255","t2dmeta_long.256","t2dmeta_long.257","t2dmeta_long.258","t2dmeta_long.259","t2dmeta_long.260","t2dmeta_long.261","t2dmeta_long.262","t2dmeta_long.263","t2dmeta_long.264","t2dmeta_long.265","t2dmeta_long.266","t2dmeta_long.267","t2dmeta_long.268","t2dmeta_long.269","t2dmeta_long.270","t2dmeta_short","t2dmeta_short.1","t2dmeta_short.2","t2dmeta_short.3","t2dmeta_short.4","t2dmeta_short.5","t2dmeta_short.6","t2dmeta_short.7","t2dmeta_short.8","t2dmeta_short.9","t2dmeta_short.10","t2dmeta_short.11","t2dmeta_short.12","t2dmeta_short.13","t2dmeta_short.14","t2dmeta_short.15","t2dmeta_short.16","t2dmeta_short.17","t2dmeta_short.18","t2dmeta_short.19","t2dmeta_short.20","t2dmeta_short.21","t2dmeta_short.22","t2dmeta_short.23","t2dmeta_short.24","t2dmeta_short.25","t2dmeta_short.26","t2dmeta_short.27","t2dmeta_short.28","t2dmeta_short.29","t2dmeta_short.30","t2dmeta_short.31","t2dmeta_short.32","t2dmeta_short.33","t2dmeta_short.34","t2dmeta_short.35","t2dmeta_short.36","t2dmeta_short.37","t2dmeta_short.38","t2dmeta_short.39","t2dmeta_short.40","t2dmeta_short.41","t2dmeta_short.42","t2dmeta_short.43","t2dmeta_short.44","t2dmeta_short.45","t2dmeta_short.46","t2dmeta_short.47","t2dmeta_short.48","t2dmeta_short.49","t2dmeta_short.50","t2dmeta_short.51","t2dmeta_short.52","t2dmeta_short.53","t2dmeta_short.54","t2dmeta_short.55","t2dmeta_short.56","t2dmeta_short.57","t2dmeta_short.58","t2dmeta_short.59","t2dmeta_short.60","t2dmeta_short.61","t2dmeta_short.62","t2dmeta_short.63","t2dmeta_short.64","t2dmeta_short.65","t2dmeta_short.66","t2dmeta_short.67","t2dmeta_short.68","t2dmeta_short.69","t2dmeta_short.70","t2dmeta_short.71","t2dmeta_short.72"
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii",0.0033364010009203,0.0049776019910408,0,0,0.00494460148338044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87000058700006e-05,0,0,0,0,0,0,0,0,0.0001322,0,0,0,0,6.64000265600106e-05,0,0,0,0,0.0117469988253001,0,5.37000107400021e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022294993311502,0,0,0.000993999602400159,0,0,0,0,0,0,0.0257532,0,0,0.00105089978982004,0,0,0,0,0,0.00324509870196052,0,0,2.17999869200078e-05,0,0,0,0.00148140029628006,0,0,0,0,0,0,0,0,0.0140701943719223,0.000312200031220003,0,0,0,0,0,0,0,0,0,0,0,0,4.28000042800004e-05,0,0,0,0,0.00723719782884065,0,0,0.0773354845329031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51000510600306e-05,0,0,0,0,0,0,0,0.00198839960232008,0,0,0,0.000148600074300037,0,0,0.0119753952098419,3.00999909700027e-05,0,0,0,0,0.0010662,0,0,0,0,0,0,0,0,0,4.51000180400072e-05,0,3.24999870000052e-05,0,0,0,0,0,0,0,0,0,0,0,0.000235000023500002,0.00973570584142351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00772669922733008,0,0.000557300055730006,0,0,0,0,0.000318200063640013,4.4200013260004e-05,0,0,0.00467569859729042,0,0,0,0.000682300272920109,0,0,0,0,0,0,0,0,0,0.00799029760291072,0,0,0,0,0,0,0,0.046792,0,0,0,0,0,0,0,0,0,0.0112187011218701,0,0,0.0393862,0,0,0,0,0,0,0,0.0022377993286602,0,0,0,0,0,0.0530111787955285,0,0,0,0,0,0,0,0,0,0,0.0032292,0,0,0,0,0,0.0129066961279912,0,0,0,0,0.000768600384300192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122899926260044,0,0,0,0,0,0,0,0,0.000739900221970067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified",0,0.0012802005120802,0,0,0.000678600203580061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112400011240001,0,0,0,0,0,0,0,0,9.72e-05,0,0,0,0,7.46000298400119e-05,0,0,0,0,0.00107749989225001,2.70999972900003e-05,4.60000092000018e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192599942220017,0,0,0,0,0,0,0,0,0,0.0030209,0,3.52999964700004e-05,0.000143199971360006,0,0,0,0,0,0,0,0,3.5999978400013e-05,0,0,0,0.000720100144020029,0,0,0,0,0,0,0,0,0,7.70000077000008e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.000106000010600001,0,0,0,0,0.00200879939736018,0,0,0.0136939972612005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000536799892640021,0,0,0,0,0,0,0,0,0,0,0,0,0.0003287,0,0,0,0,0,0,0,0,0,1.08000043200017e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89000593400356e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194199980580002,0,0.000174900017490002,0,0,0,0,0,2.46000073800022e-05,0,0,0,0,0,0,0.000103000041200016,0,0,0,0,0,0,0,0,0,0.00126139962158011,0,0,0,0,0,0,0,0.0025686,0,0,0.0003616,0,0,0,0,0,0,0.00161910016191002,0,0,0.0024832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00805139677944129,0,0,0,0,0,0,0,0,0,0,1.32e-05,0,0,0,0,0,0,0,0,0,0,0.000140200070100035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000268500026850003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126299962110011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04999958000017e-05,0,0,0,0,0.000417999958200004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00543939836818049,0,0,0.0102335979532804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17999917400058e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118889976222005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000481800048180005,0,0,0,0,0,0,0,0,0,0,0,0,0.000525000210000084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000187600093800047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125299987470001,0,0,0.00144520043356013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcaceae_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06999918600016e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00000360000216e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69999943000006e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06999757200097e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78000143400043e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89999586000248e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08999514600291e-05,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43999836800049e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19999958000004e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19999916000017e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17999791000104e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95e-05,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222599955480009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95000039000008e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii",0,0,0,0,0,0,0,0,0,0.0001089,0,0,0,0,0,0,8.08999919100008e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03000101500051e-05,0,0,0,0,0,0,0,0,0,0,7.4900014980003e-05,0,0,0,0,0,0,0,0,3.89000038900004e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000208400041680008,0.000177699964460007,3.67e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37000131100039e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99999820000036e-06,0,0,0,0,0,0,0,0.000581999825400052,0,0,0,2.24999910000036e-05,0,0,0,0,7.98000319200128e-05,7.60000228000068e-06,0,0.000183100054930016,0,0,0,0,4.51999819200072e-05,0,0,0,0.000227600022760002,0,0,0,0,1.96999980300002e-05,0,0,0,0,0,0,0,0,0,5.58000055800006e-05,0,0,1.48000059200024e-05,0,0,4.4500013350004e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59999974000003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83000018300002e-05,0,0,0,0,0,0,0.0001173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49999805000059e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57000078500039e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78999664700235e-05,2.41999927400022e-05,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17999844600047e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32999930100021e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
