"","WT2D","WT2D.1","WT2D.2","WT2D.3","WT2D.4","WT2D.5","WT2D.6","WT2D.7","WT2D.8","WT2D.9","WT2D.10","WT2D.11","WT2D.12","WT2D.13","WT2D.14","WT2D.15","WT2D.16","WT2D.17","WT2D.18","WT2D.19","WT2D.20","WT2D.21","WT2D.22","WT2D.23","WT2D.24","WT2D.25","WT2D.26","WT2D.27","WT2D.28","WT2D.29","WT2D.30","WT2D.31","WT2D.32","WT2D.33","WT2D.34","WT2D.35","WT2D.36","WT2D.37","WT2D.38","WT2D.39","WT2D.40","WT2D.41","WT2D.42","WT2D.43","WT2D.44","WT2D.45","WT2D.46","WT2D.47","WT2D.48","WT2D.49","WT2D.50","WT2D.51","WT2D.52","WT2D.53","WT2D.54","WT2D.55","WT2D.56","WT2D.57","WT2D.58","WT2D.59","WT2D.60","WT2D.61","WT2D.62","WT2D.63","WT2D.64","WT2D.65","WT2D.66","WT2D.67","WT2D.68","WT2D.69","WT2D.70","WT2D.71","WT2D.72","WT2D.73","WT2D.74","WT2D.75","WT2D.76","WT2D.77","WT2D.78","WT2D.79","WT2D.80","WT2D.81","WT2D.82","WT2D.83","WT2D.84","WT2D.85","WT2D.86","WT2D.87","WT2D.88","WT2D.89","WT2D.90","WT2D.91","WT2D.92","WT2D.93","WT2D.94","WT2D.95"
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii",0,0,0.0383820884853735,0.00785340471204283,0.0911861908813809,0.00176880017688002,0.0172960017296002,0,0,0.00314689968531003,0.00174719842752142,0.00791469920853008,0.0391875039187504,0,0,0.0182944109766466,0,0.0330177867928853,0,0.1320057,0,0,0,0,0.181369363726127,0.0371419074283815,0,0,0.00625430125086025,0,0.00327230032723003,0,0,0,0.0711105071110507,0,0.0312523968747603,0.0199995,0.0362527145010858,0,0,4.52999909400018e-05,0.00649870259948104,0,0,0.097160690283931,0,0.0102973979405204,0,0,0.0612696,0.0178923,0.00797439840512032,0.00541620162486049,0.00619049876190025,0,7.3e-06,0,0.0105626,0,0,0,0.033500489949853,0.0032676,0.048870590225882,0.0135455945817622,0,0.00658120131624026,0.0134106946357221,0.0263893920831824,0.001137,4.3699982520007e-05,0,0.0187457981254202,0.0006899,0,0.0154031984596802,0,0,0,0.0267583,0.000712899928710007,0.0121521012152101,0.050364089927182,0.00539989730005135,0,0,0.0176247017624702,0,0.0296027059205412,0.074432014886403,0.000259799974020003,0.0278607,0.0246789074036722,0.0672433268973308,0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified",0,0,0.0033096990070903,0,0,0,0,0,0,0.000347599965240003,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99000139800028e-05,0.0024610995077801,0,0,0,0,0,0.000659300065930007,0,0,0,0,0,0,0,0,0,0,5.41999891600022e-05,0.000259400103760042,0,0,0.00408099959190004,0,0,0,0,0.0005952,0,0,0.000633900190170057,0.00270139945972011,0,1.94e-05,0,0,0,0,0,0,0,0,0,0,0,0.00225089909964036,0.000318399904480029,0,3.05999877600049e-05,0,0,0,0,0,0,0,0,0.0009651,0.000179199982080002,0,0,0,0,0,0,0,0,0,0,0,0,0.000715600286240114,0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae",0,0,0.00357979892606032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100065010006501,0,0,0,0,0,0,0,0,0,0,0.00347599965240004,0,0,0,0,0,0,0,0.0022563006768902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231939907224037,0.000740699777790067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00254159872920064,0,0,0.00555410055541005,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcaceae_unclassified",0,0,7.86999763900071e-05,6.08000364800219e-05,0.000280599971940003,0,0,0,0,0,0,0,6.24000062400006e-05,0,0,0,0,0,0,8.36e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24999927500007e-05,0,0,0,0,5.19e-05,0,0,0,0.00025959994808001,0,0,0,0,0,0,0,0,0,0,0,0,2.99000059800012e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16000051600005e-05,0,0,0,0,0,0,0,0,0,8.62e-05,0,6.54000261600105e-05,0
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42999614200231e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000211100042220008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17999814600056e-05,0,0,0,0,0,0,0,0,0,0,0.000141299985870001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii",0,0,0,0,0,0,0,0,0,0,0,1.64999983500002e-05,0,4.33000043300004e-05,6.55999606400236e-05,2.71000162600098e-05,0.000102499989750001,0,0,0.0001684,0,0,0,0,0,0,0,0,0,0.0004151,0,0,0,0,2.09000020900002e-05,3.12000093600028e-05,0,0,0,0,1.10999988900001e-05,0,0,0.0003093,4.77000143100043e-05,0,7.59000227700068e-05,8.80999823800035e-05,0,0,0,0,1.95999960800008e-05,0,0,0,0,0,0.0001227,0,0,0.000476000047600005,0,0,0,0,8.03999839200032e-05,0,4.10999835600066e-05,0,0,0,0,0,2.85e-05,0,0,0,0,0,0,0.000254899974510003,0,0,0,0,0,0,0,0,0.000678100135620027,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20999711600115e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5000015000003e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus",0,0,0,0,0,0,0,8.19999836000033e-06,0.000113500022700005,0,0,0.000543999945600005,0,4.53000045300005e-05,0,0,1.67999983200002e-05,0,0,0,0,0,0,0,0.000133999973200005,0,0,0.000311699968830003,0,0.0002767,0,0.000184900036980007,0.000230400046080009,0,3.46000034600003e-05,0,0,0,6.75000270000108e-05,0,0,0,0,0.0001375,0.000234800070440021,0,9.80000294000088e-06,0,0,7.61e-05,0.0002696,7.74e-05,1.27999974400005e-05,0,0,0,0,0,0.0002545,1.25000012500001e-05,0.000210499957900008,8.53000085300008e-05,0.000186899943930017,4.74e-05,0.000196399960720008,0.000528699788520085,8.07999838400032e-05,6.36000127200026e-05,0.000104599958160017,0,0,0,0,3.92999960700004e-05,8.61e-05,0,0,0.000236699786970192,0,0,0,0,0,0,0,0.000625900062590006,0,0,0,0,0,0,0,0,0.000308500123400049,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94000117600047e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8899992440003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
