,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.692,0.745,0.26,0.675,0.692,0.665,0.0,8.0
1,0.769,0.745,0.47,0.763,0.769,0.761,0.0,8.0
2,0.615,0.627,-0.01,0.542,0.615,0.548,0.0,8.0
3,0.64,0.721,0.086,0.604,0.64,0.613,0.0,8.0
4,0.48,0.611,-0.226,0.431,0.48,0.45,0.0,8.0
5,0.68,0.542,0.236,0.676,0.68,0.625,0.0,8.0
6,0.68,0.646,0.275,0.668,0.68,0.669,0.0,8.0
7,0.68,0.604,0.236,0.676,0.68,0.625,0.0,8.0
8,0.64,0.562,0.164,0.618,0.64,0.619,0.0,8.0
9,0.68,0.639,0.25,0.664,0.68,0.652,0.0,8.0
10,0.654,0.706,0.216,0.645,0.654,0.649,1.0,16.0
11,0.615,0.523,0.105,0.596,0.615,0.602,1.0,16.0
12,0.692,0.719,0.243,0.686,0.692,0.638,1.0,16.0
13,0.72,0.794,0.3,0.702,0.72,0.699,1.0,16.0
14,0.68,0.639,0.272,0.787,0.68,0.584,1.0,16.0
15,0.6,0.618,-0.021,0.527,0.6,0.532,1.0,16.0
16,0.52,0.542,-0.167,0.456,0.52,0.478,1.0,16.0
17,0.68,0.688,0.25,0.664,0.68,0.652,1.0,16.0
18,0.68,0.75,0.275,0.668,0.68,0.669,1.0,16.0
19,0.6,0.521,0.089,0.581,0.6,0.587,1.0,16.0
20,0.769,0.725,0.49,0.769,0.769,0.769,2.0,32.0
21,0.692,0.784,0.26,0.675,0.692,0.665,2.0,32.0
22,0.654,0.699,0.0,0.428,0.654,0.517,2.0,32.0
23,0.68,0.632,0.168,0.646,0.68,0.644,2.0,32.0
24,0.56,0.576,-0.1,0.486,0.56,0.505,2.0,32.0
25,0.68,0.806,0.236,0.676,0.68,0.625,2.0,32.0
26,0.56,0.535,0.021,0.549,0.56,0.554,2.0,32.0
27,0.72,0.701,0.355,0.727,0.72,0.685,2.0,32.0
28,0.64,0.729,0.2,0.632,0.64,0.635,2.0,32.0
29,0.72,0.736,0.379,0.714,0.72,0.716,2.0,32.0
30,0.692,0.791,0.26,0.675,0.692,0.665,3.0,64.0
