,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.686,0.775,0.37,0.686,0.686,0.685,0.0,8.0
1,0.657,0.654,0.314,0.658,0.657,0.655,0.0,8.0
2,0.771,0.843,0.542,0.771,0.771,0.771,0.0,8.0
3,0.8,0.794,0.607,0.808,0.8,0.798,0.0,8.0
4,0.824,0.83,0.652,0.828,0.824,0.823,0.0,8.0
5,0.559,0.626,0.118,0.559,0.559,0.558,0.0,8.0
6,0.647,0.682,0.294,0.647,0.647,0.647,0.0,8.0
7,0.647,0.637,0.296,0.649,0.647,0.646,0.0,8.0
8,0.676,0.754,0.369,0.693,0.676,0.669,0.0,8.0
9,0.618,0.751,0.246,0.629,0.618,0.609,0.0,8.0
10,0.8,0.879,0.623,0.825,0.8,0.795,1.0,16.0
11,0.714,0.768,0.443,0.728,0.714,0.711,1.0,16.0
12,0.771,0.83,0.545,0.774,0.771,0.77,1.0,16.0
13,0.543,0.637,0.081,0.542,0.543,0.535,1.0,16.0
14,0.618,0.671,0.239,0.621,0.618,0.615,1.0,16.0
15,0.706,0.765,0.44,0.735,0.706,0.696,1.0,16.0
16,0.735,0.768,0.471,0.736,0.735,0.735,1.0,16.0
17,0.588,0.685,0.178,0.589,0.588,0.587,1.0,16.0
18,0.588,0.637,0.178,0.589,0.588,0.587,1.0,16.0
19,0.676,0.761,0.369,0.693,0.676,0.669,1.0,16.0
20,0.629,0.775,0.258,0.63,0.629,0.629,2.0,32.0
21,0.714,0.775,0.428,0.714,0.714,0.714,2.0,32.0
22,0.743,0.739,0.485,0.743,0.743,0.742,2.0,32.0
23,0.743,0.778,0.485,0.743,0.743,0.742,2.0,32.0
24,0.618,0.72,0.239,0.621,0.618,0.615,2.0,32.0
25,0.794,0.789,0.598,0.804,0.794,0.793,2.0,32.0
26,0.647,0.657,0.294,0.647,0.647,0.647,2.0,32.0
27,0.676,0.685,0.354,0.677,0.676,0.676,2.0,32.0
28,0.706,0.824,0.415,0.709,0.706,0.705,2.0,32.0
29,0.618,0.644,0.239,0.621,0.618,0.615,2.0,32.0
30,0.657,0.725,0.318,0.664,0.657,0.651,3.0,64.0
31,0.743,0.706,0.524,0.787,0.743,0.73,3.0,64.0
32,0.686,0.765,0.382,0.7,0.686,0.678,3.0,64.0
33,0.829,0.817,0.66,0.832,0.829,0.828,3.0,64.0
34,0.765,0.803,0.529,0.765,0.765,0.765,3.0,64.0
