,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.958,0.993,0.92,0.962,0.958,0.958,0.0,8.0
1,0.75,0.812,0.5,0.75,0.75,0.75,0.0,8.0
2,0.87,0.947,0.74,0.872,0.87,0.869,0.0,8.0
3,0.913,0.97,0.837,0.925,0.913,0.912,0.0,8.0
4,0.826,0.947,0.659,0.835,0.826,0.824,0.0,8.0
5,0.826,0.795,0.664,0.837,0.826,0.825,0.0,8.0
6,0.783,0.894,0.589,0.805,0.783,0.78,0.0,8.0
7,0.783,0.939,0.568,0.786,0.783,0.783,0.0,8.0
8,0.826,0.879,0.699,0.872,0.826,0.822,0.0,8.0
9,0.957,0.97,0.916,0.96,0.957,0.956,0.0,8.0
10,0.792,0.84,0.585,0.794,0.792,0.791,1.0,16.0
11,0.625,0.75,0.258,0.633,0.625,0.619,1.0,16.0
12,0.957,0.977,0.916,0.96,0.957,0.956,1.0,16.0
13,0.87,0.955,0.742,0.873,0.87,0.87,1.0,16.0
14,0.826,0.962,0.699,0.872,0.826,0.822,1.0,16.0
15,0.826,0.939,0.664,0.837,0.826,0.825,1.0,16.0
16,0.913,0.97,0.84,0.926,0.913,0.913,1.0,16.0
17,0.913,0.977,0.837,0.925,0.913,0.912,1.0,16.0
18,0.783,0.902,0.589,0.805,0.783,0.78,1.0,16.0
19,0.913,1.0,0.84,0.926,0.913,0.913,1.0,16.0
20,0.833,0.924,0.676,0.843,0.833,0.832,2.0,32.0
21,0.792,0.951,0.602,0.811,0.792,0.788,2.0,32.0
22,0.913,0.985,0.826,0.913,0.913,0.913,2.0,32.0
23,0.826,0.78,0.659,0.835,0.826,0.824,2.0,32.0
24,0.783,0.985,0.633,0.851,0.783,0.774,2.0,32.0
25,0.826,0.917,0.664,0.837,0.826,0.825,2.0,32.0
26,0.957,0.962,0.917,0.96,0.957,0.957,2.0,32.0
27,0.957,0.97,0.917,0.96,0.957,0.957,2.0,32.0
28,0.826,0.902,0.699,0.872,0.826,0.822,2.0,32.0
29,0.826,0.909,0.652,0.826,0.826,0.826,2.0,32.0
30,0.917,0.951,0.845,0.929,0.917,0.916,3.0,64.0
