,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.654,0.647,0.0,0.428,0.654,0.517,0.0,8.0
1,0.654,0.699,0.0,0.428,0.654,0.517,0.0,8.0
2,0.654,0.641,0.0,0.428,0.654,0.517,0.0,8.0
3,0.68,0.515,0.0,0.462,0.68,0.55,0.0,8.0
4,0.64,0.757,0.0,0.41,0.64,0.5,0.0,8.0
5,0.64,0.819,0.0,0.41,0.64,0.5,0.0,8.0
6,0.64,0.632,0.0,0.41,0.64,0.5,0.0,8.0
7,0.64,0.639,0.0,0.41,0.64,0.5,0.0,8.0
8,0.64,0.576,0.0,0.41,0.64,0.5,0.0,8.0
9,0.64,0.549,0.0,0.41,0.64,0.5,0.0,8.0
10,0.654,0.627,0.0,0.428,0.654,0.517,1.0,16.0
11,0.654,0.477,0.0,0.428,0.654,0.517,1.0,16.0
12,0.654,0.771,0.0,0.428,0.654,0.517,1.0,16.0
13,0.68,0.794,0.0,0.462,0.68,0.55,1.0,16.0
14,0.64,0.528,0.0,0.41,0.64,0.5,1.0,16.0
15,0.64,0.618,0.0,0.41,0.64,0.5,1.0,16.0
16,0.64,0.333,0.0,0.41,0.64,0.5,1.0,16.0
17,0.64,0.812,0.0,0.41,0.64,0.5,1.0,16.0
18,0.64,0.812,0.0,0.41,0.64,0.5,1.0,16.0
19,0.64,0.729,0.0,0.41,0.64,0.5,1.0,16.0
20,0.654,0.797,0.0,0.428,0.654,0.517,2.0,32.0
21,0.654,0.68,0.0,0.428,0.654,0.517,2.0,32.0
22,0.654,0.595,0.0,0.428,0.654,0.517,2.0,32.0
23,0.68,0.441,0.0,0.462,0.68,0.55,2.0,32.0
24,0.64,0.569,0.0,0.41,0.64,0.5,2.0,32.0
25,0.64,0.66,0.0,0.41,0.64,0.5,2.0,32.0
26,0.64,0.625,0.0,0.41,0.64,0.5,2.0,32.0
27,0.64,0.75,0.0,0.41,0.64,0.5,2.0,32.0
28,0.64,0.646,0.0,0.41,0.64,0.5,2.0,32.0
