,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.714,0.752,0.443,0.728,0.714,0.711,0.0,8.0
1,0.571,0.578,0.144,0.572,0.571,0.571,0.0,8.0
2,0.657,0.824,0.341,0.681,0.657,0.649,0.0,8.0
3,0.657,0.771,0.327,0.668,0.657,0.654,0.0,8.0
4,0.647,0.737,0.303,0.656,0.647,0.642,0.0,8.0
5,0.559,0.654,0.118,0.559,0.559,0.558,0.0,8.0
6,0.618,0.716,0.309,0.702,0.618,0.573,0.0,8.0
7,0.5,0.567,0.0,0.5,0.5,0.5,0.0,8.0
8,0.676,0.792,0.359,0.682,0.676,0.674,0.0,8.0
9,0.647,0.73,0.303,0.656,0.647,0.642,0.0,8.0
10,0.686,0.83,0.37,0.686,0.686,0.685,1.0,16.0
11,0.657,0.81,0.341,0.681,0.657,0.649,1.0,16.0
12,0.743,0.833,0.495,0.751,0.743,0.742,1.0,16.0
13,0.543,0.641,0.089,0.545,0.543,0.542,1.0,16.0
14,0.588,0.73,0.2,0.613,0.588,0.564,1.0,16.0
15,0.676,0.692,0.359,0.682,0.676,0.674,1.0,16.0
16,0.588,0.64,0.182,0.593,0.588,0.582,1.0,16.0
17,0.529,0.696,0.063,0.534,0.529,0.514,1.0,16.0
18,0.588,0.592,0.2,0.613,0.588,0.564,1.0,16.0
19,0.735,0.782,0.471,0.736,0.735,0.735,1.0,16.0
20,0.6,0.735,0.203,0.603,0.6,0.599,2.0,32.0
21,0.6,0.719,0.22,0.617,0.6,0.59,2.0,32.0
22,0.771,0.788,0.56,0.788,0.771,0.769,2.0,32.0
23,0.743,0.804,0.485,0.743,0.743,0.742,2.0,32.0
24,0.676,0.73,0.369,0.693,0.676,0.669,2.0,32.0
25,0.647,0.713,0.314,0.668,0.647,0.636,2.0,32.0
26,0.588,0.637,0.182,0.593,0.588,0.582,2.0,32.0
27,0.588,0.644,0.178,0.589,0.588,0.587,2.0,32.0
28,0.706,0.799,0.467,0.764,0.706,0.689,2.0,32.0
29,0.5,0.633,0.0,0.5,0.5,0.496,2.0,32.0
30,0.629,0.716,0.289,0.657,0.629,0.615,3.0,64.0
31,0.743,0.781,0.485,0.743,0.743,0.742,3.0,64.0
32,0.657,0.755,0.318,0.66,0.657,0.657,3.0,64.0
33,0.714,0.82,0.443,0.728,0.714,0.711,3.0,64.0
34,0.706,0.837,0.415,0.709,0.706,0.705,3.0,64.0
35,0.618,0.713,0.239,0.621,0.618,0.615,3.0,64.0
36,0.588,0.623,0.189,0.601,0.588,0.575,3.0,64.0
37,0.647,0.685,0.314,0.668,0.647,0.636,3.0,64.0
38,0.588,0.595,0.2,0.613,0.588,0.564,3.0,64.0
39,0.647,0.747,0.314,0.668,0.647,0.636,3.0,64.0
40,0.457,0.562,-0.081,0.458,0.457,0.448,4.0,128.0
41,0.543,0.654,0.089,0.545,0.543,0.542,4.0,128.0
42,0.686,0.761,0.37,0.686,0.686,0.685,4.0,128.0
43,0.6,0.647,0.203,0.603,0.6,0.599,4.0,128.0
44,0.559,0.526,0.154,0.601,0.559,0.507,4.0,128.0
45,0.882,0.837,0.787,0.905,0.882,0.881,4.0,128.0
46,0.588,0.682,0.178,0.589,0.588,0.587,4.0,128.0
47,0.676,0.761,0.387,0.712,0.676,0.662,4.0,128.0
48,0.706,0.803,0.424,0.718,0.706,0.702,4.0,128.0
49,0.676,0.734,0.354,0.677,0.676,0.676,4.0,128.0
50,0.657,0.735,0.327,0.668,0.657,0.654,5.0,256.0
51,0.543,0.706,0.089,0.545,0.543,0.542,5.0,256.0
52,0.686,0.647,0.373,0.687,0.686,0.686,5.0,256.0
53,0.571,0.67,0.141,0.571,0.571,0.571,5.0,256.0
54,0.588,0.564,0.2,0.613,0.588,0.564,5.0,256.0
55,0.706,0.734,0.467,0.764,0.706,0.689,5.0,256.0
56,0.706,0.82,0.424,0.718,0.706,0.702,5.0,256.0
57,0.647,0.758,0.314,0.668,0.647,0.636,5.0,256.0
58,0.676,0.716,0.369,0.693,0.676,0.669,5.0,256.0
59,0.735,0.81,0.478,0.743,0.735,0.733,5.0,256.0
60,0.629,0.778,0.264,0.634,0.629,0.627,6.0,1024.0
61,0.486,0.552,-0.026,0.487,0.486,0.485,6.0,1024.0
62,0.629,0.791,0.289,0.657,0.629,0.615,6.0,1024.0
63,0.486,0.575,-0.029,0.486,0.486,0.486,6.0,1024.0
64,0.5,0.567,0.0,0.5,0.5,0.478,6.0,1024.0
65,0.706,0.893,0.424,0.718,0.706,0.702,6.0,1024.0
66,0.382,0.439,-0.239,0.379,0.382,0.378,6.0,1024.0
67,0.618,0.785,0.246,0.629,0.618,0.609,6.0,1024.0
68,0.765,0.837,0.545,0.78,0.765,0.761,6.0,1024.0
69,0.765,0.782,0.533,0.768,0.765,0.764,6.0,1024.0
70,0.514,0.631,0.023,0.512,0.514,0.509,7.0,2048.0
71,0.714,0.833,0.461,0.745,0.714,0.707,7.0,2048.0
72,0.6,0.663,0.199,0.6,0.6,0.6,7.0,2048.0
73,0.686,0.752,0.373,0.687,0.686,0.686,7.0,2048.0
74,0.735,0.82,0.471,0.736,0.735,0.735,7.0,2048.0
75,0.588,0.644,0.182,0.593,0.588,0.582,7.0,2048.0
76,0.647,0.696,0.296,0.649,0.647,0.646,7.0,2048.0
77,0.588,0.699,0.182,0.593,0.588,0.582,7.0,2048.0
78,0.676,0.806,0.416,0.745,0.676,0.652,7.0,2048.0
79,0.559,0.668,0.129,0.571,0.559,0.539,7.0,2048.0
80,0.686,0.722,0.38,0.693,0.686,0.684,8.0,4096.0
81,0.6,0.667,0.21,0.608,0.6,0.596,8.0,4096.0
82,0.486,0.48,-0.037,0.481,0.486,0.477,8.0,4096.0
83,0.6,0.709,0.203,0.603,0.6,0.599,8.0,4096.0
84,0.706,0.855,0.424,0.718,0.706,0.702,8.0,4096.0
85,0.853,0.927,0.739,0.886,0.853,0.85,8.0,4096.0
86,0.647,0.761,0.314,0.668,0.647,0.636,8.0,4096.0
87,0.559,0.574,0.123,0.564,0.559,0.549,8.0,4096.0
88,0.735,0.747,0.516,0.783,0.735,0.724,8.0,4096.0
89,0.559,0.671,0.118,0.559,0.559,0.558,8.0,4096.0
90,0.6,0.706,0.21,0.608,0.6,0.596,9.0,8192.0
91,0.629,0.778,0.264,0.634,0.629,0.627,9.0,8192.0
92,0.629,0.631,0.262,0.637,0.629,0.619,9.0,8192.0
93,0.686,0.748,0.398,0.718,0.686,0.671,9.0,8192.0
94,0.588,0.619,0.176,0.588,0.588,0.588,9.0,8192.0
95,0.618,0.692,0.258,0.642,0.618,0.601,9.0,8192.0
96,0.765,0.834,0.545,0.78,0.765,0.761,9.0,8192.0
97,0.529,0.644,0.059,0.53,0.529,0.528,9.0,8192.0
98,0.559,0.637,0.12,0.561,0.559,0.555,9.0,8192.0
99,0.676,0.851,0.463,0.804,0.676,0.639,9.0,8192.0
