,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.629,0.775,0.256,0.628,0.629,0.628,0.0,8.0
1,0.6,0.601,0.199,0.603,0.6,0.593,0.0,8.0
2,0.771,0.827,0.542,0.771,0.771,0.771,0.0,8.0
3,0.686,0.761,0.37,0.686,0.686,0.685,0.0,8.0
4,0.706,0.768,0.424,0.718,0.706,0.702,0.0,8.0
5,0.5,0.616,0.0,0.5,0.5,0.5,0.0,8.0
6,0.647,0.723,0.296,0.649,0.647,0.646,0.0,8.0
7,0.5,0.606,0.0,0.5,0.5,0.489,0.0,8.0
8,0.618,0.751,0.277,0.663,0.618,0.589,0.0,8.0
9,0.765,0.785,0.533,0.768,0.765,0.764,0.0,8.0
10,0.714,0.801,0.475,0.768,0.714,0.696,1.0,16.0
11,0.657,0.807,0.327,0.668,0.657,0.654,1.0,16.0
12,0.743,0.85,0.502,0.763,0.743,0.736,1.0,16.0
13,0.6,0.693,0.204,0.609,0.6,0.586,1.0,16.0
14,0.588,0.699,0.182,0.593,0.588,0.582,1.0,16.0
15,0.618,0.682,0.258,0.642,0.618,0.601,1.0,16.0
16,0.529,0.671,0.067,0.538,0.529,0.502,1.0,16.0
17,0.559,0.64,0.123,0.564,0.559,0.549,1.0,16.0
18,0.529,0.585,0.063,0.534,0.529,0.514,1.0,16.0
19,0.529,0.706,0.063,0.534,0.529,0.514,1.0,16.0
20,0.571,0.748,0.141,0.571,0.571,0.571,2.0,32.0
21,0.629,0.703,0.274,0.643,0.629,0.622,2.0,32.0
22,0.657,0.775,0.318,0.664,0.657,0.651,2.0,32.0
23,0.743,0.768,0.502,0.763,0.743,0.736,2.0,32.0
24,0.618,0.792,0.236,0.618,0.618,0.617,2.0,32.0
25,0.647,0.751,0.296,0.649,0.647,0.646,2.0,32.0
26,0.588,0.609,0.178,0.589,0.588,0.587,2.0,32.0
27,0.529,0.602,0.063,0.534,0.529,0.514,2.0,32.0
28,0.706,0.81,0.44,0.735,0.706,0.696,2.0,32.0
29,0.559,0.671,0.123,0.564,0.559,0.549,2.0,32.0
30,0.571,0.729,0.149,0.576,0.571,0.569,3.0,64.0
31,0.714,0.742,0.45,0.74,0.714,0.704,3.0,64.0
32,0.714,0.735,0.45,0.74,0.714,0.704,3.0,64.0
33,0.743,0.814,0.49,0.749,0.743,0.74,3.0,64.0
34,0.647,0.792,0.303,0.656,0.647,0.642,3.0,64.0
35,0.559,0.668,0.123,0.564,0.559,0.549,3.0,64.0
36,0.559,0.657,0.12,0.561,0.559,0.555,3.0,64.0
37,0.618,0.647,0.239,0.621,0.618,0.615,3.0,64.0
38,0.529,0.571,0.059,0.53,0.529,0.528,3.0,64.0
39,0.647,0.782,0.296,0.649,0.647,0.646,3.0,64.0
40,0.629,0.588,0.271,0.649,0.629,0.611,4.0,128.0
41,0.514,0.627,0.026,0.514,0.514,0.513,4.0,128.0
42,0.629,0.755,0.262,0.637,0.629,0.619,4.0,128.0
43,0.571,0.647,0.144,0.572,0.571,0.571,4.0,128.0
44,0.618,0.588,0.239,0.621,0.618,0.615,4.0,128.0
45,0.765,0.817,0.533,0.768,0.765,0.764,4.0,128.0
46,0.559,0.671,0.12,0.561,0.559,0.555,4.0,128.0
47,0.618,0.702,0.258,0.642,0.618,0.601,4.0,128.0
48,0.676,0.799,0.354,0.677,0.676,0.676,4.0,128.0
49,0.618,0.734,0.246,0.629,0.618,0.609,4.0,128.0
50,0.629,0.69,0.257,0.631,0.629,0.625,5.0,256.0
51,0.629,0.735,0.257,0.631,0.629,0.625,5.0,256.0
52,0.714,0.709,0.428,0.714,0.714,0.714,5.0,256.0
53,0.571,0.67,0.14,0.571,0.571,0.567,5.0,256.0
54,0.529,0.567,0.059,0.53,0.529,0.528,5.0,256.0
55,0.618,0.751,0.236,0.618,0.618,0.617,5.0,256.0
56,0.706,0.792,0.44,0.735,0.706,0.696,5.0,256.0
57,0.706,0.74,0.415,0.709,0.706,0.705,5.0,256.0
58,0.588,0.696,0.178,0.589,0.588,0.587,5.0,256.0
59,0.765,0.803,0.529,0.765,0.765,0.765,5.0,256.0
60,0.686,0.775,0.382,0.7,0.686,0.678,6.0,1024.0
61,0.543,0.526,0.081,0.542,0.543,0.535,6.0,1024.0
62,0.743,0.771,0.487,0.744,0.743,0.743,6.0,1024.0
63,0.571,0.582,0.141,0.574,0.571,0.561,6.0,1024.0
64,0.471,0.64,-0.061,0.469,0.471,0.463,6.0,1024.0
65,0.706,0.841,0.412,0.706,0.706,0.706,6.0,1024.0
66,0.5,0.408,0.0,0.5,0.5,0.496,6.0,1024.0
67,0.765,0.803,0.533,0.768,0.765,0.764,6.0,1024.0
68,0.706,0.796,0.415,0.709,0.706,0.705,6.0,1024.0
69,0.706,0.837,0.415,0.709,0.706,0.705,6.0,1024.0
70,0.571,0.696,0.145,0.579,0.571,0.551,7.0,2048.0
71,0.686,0.804,0.373,0.687,0.686,0.686,7.0,2048.0
72,0.543,0.654,0.083,0.542,0.543,0.541,7.0,2048.0
73,0.714,0.768,0.433,0.718,0.714,0.714,7.0,2048.0
74,0.647,0.792,0.314,0.668,0.647,0.636,7.0,2048.0
75,0.529,0.578,0.059,0.53,0.529,0.528,7.0,2048.0
76,0.588,0.668,0.189,0.601,0.588,0.575,7.0,2048.0
77,0.676,0.72,0.359,0.682,0.676,0.674,7.0,2048.0
78,0.676,0.803,0.354,0.677,0.676,0.676,7.0,2048.0
79,0.588,0.682,0.178,0.589,0.588,0.587,7.0,2048.0
80,0.686,0.725,0.37,0.686,0.686,0.685,8.0,4096.0
