,FRA,AUS,CHN,USA,DEU
Clostridium saccharogumia [ref_mOTU_v2_0473],-0.3573356459017667,-0.7946052806647419,3.639521499345914,-0.2739896071370964,-0.4514036217095274
Clostridium innocuum [ref_mOTU_v2_0643],0.32350994874379424,-0.3008582556483983,0.447771690830308,0.01393013892081818,0.1756839366118843
Clostridium sp. KLE 1755 [ref_mOTU_v2_0860],0.41251011759722545,0.35863595685313676,1.1902214238662978,0.6973717415550613,-0.05678811732290434
Clostridium scindens [ref_mOTU_v2_0883],-0.21111107513233307,0.4289047895691347,1.35020673320631,0.3529673243077678,1.034852181516781
Clostridium boltae/clostridioforme [ref_mOTU_v2_0886],0.34322726199834364,0.3014626843937922,0.8050062682887749,0.46952265813022454,0.3014083092194486
Clostridium butyricum [ref_mOTU_v2_0978],3.3358996740459297,6.327099916350084,5.81161385870395,1.0910292236291692,4.522726235218771
Clostridium clostridioforme [ref_mOTU_v2_0979],0.9574309471454274,0.4439737359605367,1.6030937272689592,0.429086115163674,0.8033048638754128
Clostridium clostridioforme [ref_mOTU_v2_0980],2.0995789328652936,1.2701575018420677,8.78796115820951,-0.13498362139933384,7.943876386262431
Clostridium perfringens [ref_mOTU_v2_1117],0.6408179982414666,-0.2528730946030695,0.10883570308247492,-0.6735183335706374,3.9761622348496104
Clostridium saccharolyticum [ref_mOTU_v2_1380],0.4138009735141477,0.47101317512268537,0.5167839879351241,0.06689901928102415,-0.08401250257220738
Clostridium symbiosum [ref_mOTU_v2_1475],1.1558391597642217,0.3867335713389135,1.001666008928681,0.5580590518988693,0.09835331686760718
Clostridiales bacterium VE202-09 [ref_mOTU_v2_2688],2.18052297757321,-2.3152366460695024,-0.26863806404213264,0.5248393818388823,1.4445671623379024
Clostridiales bacterium VE202-14 [ref_mOTU_v2_2689],-0.12406687292648133,-0.6374102897155591,0.025896680054540155,0.7471495309454408,0.5008822984023595
Clostridium paraputrificum [ref_mOTU_v2_2890],-0.46271878460078497,-0.34111230699143924,2.6746190902960087,-0.030460904889155316,0.7299903518887021
Clostridium sp. JCC [ref_mOTU_v2_3353],-0.005548105006250026,-0.46257783457344637,-0.14852755339856571,0.09828130885508202,0.02296071584967052
Clostridium sp. L2-50 [ref_mOTU_v2_4212],-0.4616941547799307,-0.5519745604162054,-1.386994570310546,-2.0518122135609245,-1.1502993231193228
Clostridium leptum [ref_mOTU_v2_4234],-0.13812815164531145,0.11322489409069547,0.4755050689087881,0.842416736672905,-0.2572277626528514
Clostridium spiroforme [ref_mOTU_v2_4235],-0.11204692035590469,-0.22066420287062627,0.6963471882335721,-0.3819914986034778,0.19647058562219755
Clostridium asparagiforme [ref_mOTU_v2_4394],0.09349262688517967,0.36938028753025165,0.2790103739783021,-0.011312117665349675,-0.3384622584799608
Clostridium citroniae [ref_mOTU_v2_4882],0.44512496687329595,0.05473011662600591,0.7367288571315846,0.19509848653440542,-0.06100778106669402
unknown Clostridium [meta_mOTU_v2_5331],0.49997800316072283,-0.25834151052540477,0.9712649427503415,0.1109256424116083,0.46635715929020627
unknown Clostridium [meta_mOTU_v2_5336],0.9518803820716446,-0.5934986084845093,6.840417566069204,-2.5665920544585834,-7.162906238597635
unknown Clostridiales [meta_mOTU_v2_5339],0.0030463318378197712,-0.34549836261976985,0.7183157567392735,0.06767102006333658,-0.10195672225381713
unknown Clostridiales [meta_mOTU_v2_5341],-1.3466541989463066,-0.531745867914589,0.09385384627309357,0.2427116320733198,-0.6345866714617419
unknown Clostridium [meta_mOTU_v2_5343],-10.17775897552543,-0.20175921377268402,0.0,-1.4964794519924585,-5.288307797845167
unknown Clostridiales [meta_mOTU_v2_5347],-0.21430249825915837,0.30486757816569643,0.4038667339601414,-0.8376845620592448,-1.5019174378137112
unknown Clostridium [meta_mOTU_v2_5353],-2.631078755822104,0.8475631770349974,-5.424055735101286,4.285968568760676,-4.26111036703683
unknown Clostridiales [meta_mOTU_v2_5362],-0.31660163835723054,0.4263546457039258,-7.476276346728769,0.30484249674327124,-0.5646727566850362
Clostridium sp. CAG:127 [meta_mOTU_v2_5364],-0.4976389106431389,-0.03186932615961169,-0.35430666641918585,-0.9446183435993367,-0.4552032137335589
unknown Clostridium [meta_mOTU_v2_5366],0.4903850691059315,-1.0316486537893574,6.744127149573982,-2.4397069535104627,0.8050651088116236
Clostridium sp. CAG:440 [meta_mOTU_v2_5389],-3.464937213206717,-3.4651666842915736,-0.739893730958153,-10.756258357096446,-1.9544622442493944
unknown Clostridiales [meta_mOTU_v2_5396],0.15419371590021935,-0.0596942023786724,0.5119288724204694,-0.6223638111476832,-0.046885661114825616
unknown Clostridiales [meta_mOTU_v2_5397],0.2363151556676799,0.3247441358378218,-0.41877319074804653,-0.8453626785305675,-0.5525683624104518
unknown Clostridiales [meta_mOTU_v2_5408],1.356691920759582,1.1300723789252878,-5.862332599788626,8.516480301388782,2.437539115953916
unknown Clostridiales [meta_mOTU_v2_5411],-0.10918891887793691,-0.875067355152253,-0.5629622286952767,0.1768899135982256,-0.09910846389225014
unknown Clostridiales [meta_mOTU_v2_5412],0.8895280120135789,-0.5344243558278805,0.25701975346106476,1.0971232556329618,-0.3586618578661849
unknown Clostridium [meta_mOTU_v2_5413],-0.24987651803768696,-0.564483761678745,-1.8327317623661301,-1.48245293885077,-0.9990095686926637
