,FRA,AUS,CHN,USA,DEU
Clostridium saccharogumia [ref_mOTU_v2_0473],0.9726382901198426,0.21447938932279553,0.0814724400030108,0.7686038056275549,0.025404742338106013
Clostridium innocuum [ref_mOTU_v2_0643],0.34960364559386625,0.9852358590162674,0.16139858551287745,0.6609282410746802,0.0024236271409453568
Clostridium sp. KLE 1755 [ref_mOTU_v2_0860],0.6591257792106908,0.11924318931204489,0.0029063234011586377,0.4198243147998424,0.16010272696505656
Clostridium scindens [ref_mOTU_v2_0883],0.9568629307556741,0.908564257040474,0.0011886812373865896,0.21878063238832823,0.00861118872362566
Clostridium boltae/clostridioforme [ref_mOTU_v2_0886],0.04228084195849397,0.05662750136081387,0.0011357161390133294,0.059954613886177635,0.0013994343495579268
Clostridium butyricum [ref_mOTU_v2_0978],0.24307591766906356,0.09637723220440599,0.39297080762895664,0.9679172809837241,0.31731050786291437
Clostridium clostridioforme [ref_mOTU_v2_0979],0.9508630374563353,0.7201756692836287,0.0014140018721233928,0.04205660805847664,3.9759525934206007e-05
Clostridium clostridioforme [ref_mOTU_v2_0980],0.33076199902648895,0.05746319895303096,0.01299388019743128,0.7657546207164282,0.0035774436718312786
Clostridium perfringens [ref_mOTU_v2_1117],0.31328689345915106,0.7354386133421342,0.3496740453525201,0.9719551273249236,0.0495248378029449
Clostridium saccharolyticum [ref_mOTU_v2_1380],0.7977269072750193,0.004018916225562329,0.4726993896325863,0.6029378814844168,0.8509107235871348
Clostridium symbiosum [ref_mOTU_v2_1475],0.004603135250350877,0.010918522857960371,3.75822980300177e-05,0.006388240848602937,0.00013072535929362498
Clostridiales bacterium VE202-09 [ref_mOTU_v2_2688],0.2972294476501598,0.4271172104299811,0.41261188484766986,0.7089399232762916,0.5604261211858623
Clostridiales bacterium VE202-14 [ref_mOTU_v2_2689],0.9551562802015103,0.5846485566107114,0.1255133154431096,0.4546051602674692,0.015759105863801765
Clostridium paraputrificum [ref_mOTU_v2_2890],0.20747291431348547,0.4242325379245677,0.3143361147177298,0.8314759543171435,0.5970902077685061
Clostridium sp. JCC [ref_mOTU_v2_3353],0.24453184152099505,0.1341370938949578,0.5072934597294286,0.4257185910038007,0.9177194035257566
Clostridium sp. L2-50 [ref_mOTU_v2_4212],0.33500254389709183,0.8973190844384829,0.1744848841887635,0.01581942139058832,0.06687805426787995
Clostridium leptum [ref_mOTU_v2_4234],0.147047756574719,0.3372237512918428,0.2623540208019286,0.01324998789263194,0.2480323414414355
Clostridium spiroforme [ref_mOTU_v2_4235],0.23677633383053642,0.7559178839077774,0.8757762537001984,0.9838148481922393,0.412000491579273
Clostridium asparagiforme [ref_mOTU_v2_4394],0.1745613080096673,0.0003674458062675877,0.17197604248142107,0.4086445687327287,0.17794207904211734
Clostridium citroniae [ref_mOTU_v2_4882],0.1300810862381662,0.05127076433197188,0.0010354856214312709,0.17249842559078266,0.15992437642805402
unknown Clostridium [meta_mOTU_v2_5331],0.9118203449426879,0.15545508594516064,0.20975937830992375,0.5692709259859455,0.37429963683255374
unknown Clostridium [meta_mOTU_v2_5336],0.5455916244104608,0.8070323639467729,0.39297080762895664,0.18257466440435177,0.08070222238968358
unknown Clostridiales [meta_mOTU_v2_5339],0.9237654711566339,0.3174287178350823,0.5983116976385827,0.952648485827118,0.9656108707075357
unknown Clostridiales [meta_mOTU_v2_5341],0.15690057017627138,0.7474487581449282,0.7432593665056316,0.9540954687485421,0.011687514278035023
unknown Clostridium [meta_mOTU_v2_5343],0.01957618044988776,0.13934927003231246,1.0,0.9341570662677162,0.08867046523079374
unknown Clostridiales [meta_mOTU_v2_5347],0.7649832169822415,0.14717897631899288,0.6905173815095191,0.9571716454576248,0.7058245818092754
unknown Clostridium [meta_mOTU_v2_5353],0.38738956895662524,0.398505230342751,0.24174825915237164,0.08963846110654773,0.16310682473028615
unknown Clostridiales [meta_mOTU_v2_5362],0.7630315407078796,0.1637514590497735,0.01783453367958004,0.29273336598154165,0.0035844889390497306
Clostridium sp. CAG:127 [meta_mOTU_v2_5364],0.717117809169042,0.6018581347393228,0.16111813738249425,0.4027058041320748,0.029845552096078677
unknown Clostridium [meta_mOTU_v2_5366],0.54721052773648,0.959695402784107,0.2251956652882633,0.6110362013506178,0.9865341214104987
Clostridium sp. CAG:440 [meta_mOTU_v2_5389],0.30261975091834625,0.36458739104033133,0.0688165011965212,0.0034262724814051715,0.029614687079882594
unknown Clostridiales [meta_mOTU_v2_5396],0.8734956067998871,0.23893699619931097,0.12155629216577907,0.033514862021347826,0.7427582255498859
unknown Clostridiales [meta_mOTU_v2_5397],0.2618452426183814,0.03738104406375402,0.2714102308527694,0.07114132321537588,0.14230380194302739
unknown Clostridiales [meta_mOTU_v2_5408],0.32638797161725974,0.38652175271006217,0.24174825915237164,0.08030938256133965,0.32347110141304447
unknown Clostridiales [meta_mOTU_v2_5411],0.32277380859206883,0.9703543948440492,0.004921608349939239,0.41685104373247306,0.7682957500905822
unknown Clostridiales [meta_mOTU_v2_5412],0.52610679198221,0.41663447831620937,0.861471933075858,0.9740643272508258,0.8124577211397539
unknown Clostridium [meta_mOTU_v2_5413],0.9032043400447547,0.7112631671138251,0.1113555929410661,0.0005611120902030332,0.0006752029022840629
unknown Clostridiales [meta_mOTU_v2_5415],0.351273192470687,1.0,1.0,0.1552987085094556,0.5604261211858623
unknown Clostridiales [meta_mOTU_v2_5442],0.8518629627471745,0.6042488589042534,0.12217042339180388,0.01544170154297787,0.30964415516397104
