,FRA,AUS,CHN,USA,DEU
unknown Peptostreptococcaceae [meta_mOTU_v2_5742],1.215599864786017,0.3528469310659146,1.009830340048351,0.2768899072753655,0.7207722008622046
Fusobacterium sp. oral taxon 370 [ref_mOTU_v2_1403],1.989297737071006,0.955227486007968,1.686521690082616,0.934637244855674,1.505485681048654
Fusobacterium nucleatum s. nucleatum [ref_mOTU_v2_0777],2.548405060106185,1.662876246832107,2.141577596722398,1.676088370014547,2.252159301453819
Porphyromonas asaccharolytica [ref_mOTU_v2_1517],2.693122027647273,2.371836650195002,2.164932169080897,2.346908413459766,2.820176089316449
unknown Porphyromonas [meta_mOTU_v2_7656],2.386981154731237,2.667611893896812,1.657440642851522,2.402911809129059,2.772921500535052
unknown Porphyromonas [meta_mOTU_v2_5431],1.893374701438624,2.656553699575691,0.947744147563798,2.171178100126754,2.363505097193565
unknown Porphyromonas [meta_mOTU_v2_6490],1.344326222036816,2.277951065985533,0.2408748355945742,1.715977720367287,1.636197059541797
Clostridiales bacterium VE202-09 [ref_mOTU_v2_2688],0.9157110742647345,1.869070803283401,-0.2020815258590978,1.502677483998773,1.03791901725711
Tyzzerella nexilis [ref_mOTU_v2_4366],0.5730261163066459,1.385151489610185,-0.392481229110369,1.245790249282861,0.5099621749584479
Ruminococcus gnavus [ref_mOTU_v2_0280],0.3636711564518973,1.052309581910712,-0.3641900245428795,1.182275788659805,0.2615131663190016
Erysipelotrichaceae sp. [ref_mOTU_v2_0885],0.2003279272993992,0.7191392806313814,-0.3007244360468254,1.002402868662381,0.04653739127382326
unknown Clostridiales [meta_mOTU_v2_7735],0.101891950480201,0.5397744938747556,-0.208070028165135,0.9431324380953494,-0.04438391449208318
Coprococcus sp. [ref_mOTU_v2_0303],0.02983543048246711,0.3446344133383422,-0.149802614642155,0.8093094105541431,-0.1242516125891199
unknown Firmicutes [meta_mOTU_v2_6237],-0.03272946291910207,0.2360084252830754,-0.1120897010104524,0.7602195737307005,-0.152739627893193
Blautia hansenii [ref_mOTU_v2_1428],-0.09155009434141154,0.09559644806549158,-0.107991829541514,0.6055684811067346,-0.1883226350949691
unknown Clostridiales [meta_mOTU_v2_7359],-0.1272890337455521,0.02713828949712608,-0.1143195989685385,0.5432275839897214,-0.2077185459545368
unknown Clostridium [meta_mOTU_v2_7389],-0.1559519529608704,-0.06618883188654866,-0.1496859304842256,0.4045287816332503,-0.2238319708415007
unknown Clostridiales [meta_mOTU_v2_6647],-0.180724976362974,-0.1037418402763658,-0.1708328198807365,0.3030193666044171,-0.2255007820001229
unknown Clostridiales [meta_mOTU_v2_5641],-0.2038318524890943,-0.1786890796702109,-0.2019620753947856,0.1210774375088023,-0.2270622979176677
