,AUS,CHN,DEU,FRA,USA
unknown Peptostreptococcaceae [meta_mOTU_v2_5742],0.001718685917432898,0.019431605255104414,0.0030844612451169694,0.0030328973531881043,0.00011736725766888326
Fusobacterium sp. oral taxon 370 [ref_mOTU_v2_1403],0.00025074764205198987,0.0038710177057905263,0.0007676855366227889,0.010710620791940618,0.00035475496110416743
Fusobacterium nucleatum s. nucleatum [ref_mOTU_v2_0777],0.0,0.0023398653691350663,0.0,0.0,0.000611345976923642
Porphyromonas asaccharolytica [ref_mOTU_v2_1517],0.0010337194459104089,0.00010509434892563401,0.005146802415269892,0.005939836617394849,0.004485801729873533
unknown Porphyromonas [meta_mOTU_v2_7656],0.012546712148223473,0.00038933497140600286,0.009545310039573431,0.0,0.0036040608510318167
unknown Porphyromonas [meta_mOTU_v2_5431],0.003277625038640653,0.0003594123762078501,0.0038971268802925696,0.0,0.0009913121088086535
unknown Porphyromonas [meta_mOTU_v2_6490],0.0,0.0,0.0016261141428111823,0.0,0.0028291072385151525
Clostridiales bacterium VE202-09 [ref_mOTU_v2_2688],0.0,0.000327546148080373,0.0,0.0,0.0005644502295098734
Tyzzerella nexilis [ref_mOTU_v2_4366],0.0016325728047329906,0.0005335227124524323,0.0002703463813010419,0.0,0.0011586638793187995
Ruminococcus gnavus [ref_mOTU_v2_0280],0.0005373163758256926,0.0010020477360070284,0.0007048872180451126,0.0,0.004851909916524918
Erysipelotrichaceae sp. [ref_mOTU_v2_0885],0.00035731538992408546,0.0034679544744242643,0.004248849250563309,0.0,0.001983540892278444
unknown Clostridiales [meta_mOTU_v2_7735],0.0010453626697547109,0.00030851866931023286,0.0,0.0,0.0009625236659243045
Coprococcus sp. [ref_mOTU_v2_0303],0.0,0.0007968974299862392,0.00032933104631217803,0.0,0.00039487703293239495
unknown Firmicutes [meta_mOTU_v2_6237],0.0,0.0002540411904326691,0.0011412014259662001,0.0,0.00025311448971363567
Blautia hansenii [ref_mOTU_v2_1428],0.0,0.002069813232654442,0.001136962836187643,0.0,0.00032433035300555074
unknown Clostridiales [meta_mOTU_v2_7359],0.0,0.0004653084566773319,0.0003145117696201288,0.0,0.0010147752702248534
unknown Clostridium [meta_mOTU_v2_7389],0.0,8.914459845133997e-05,0.0007156200870141019,0.0,0.0001231224565297817
unknown Clostridiales [meta_mOTU_v2_6647],0.0,0.00042360803291446316,0.0,0.0,0.000715315109358879
unknown Clostridiales [meta_mOTU_v2_5641],0.0006719296961478503,0.0003798868297872075,0.0016020464599458563,0.0,0.003351539940304498
unknown Clostridium [meta_mOTU_v2_5353],0.0,0.0,0.0003204068658614115,0.001567171873389009,0.0002124183006535948
unknown Clostridiales [meta_mOTU_v2_6281],0.0006668531885923194,0.0002797552307553669,0.0009187612387612387,0.0,0.0001170071758307054
Collinsella intestinalis [ref_mOTU_v2_4400],0.0,0.0002985181298057447,0.0,0.0,0.0015693979131595115
unknown Fusobacterium [meta_mOTU_v2_7372],0.0,0.00018283923207522516,0.0,0.0,0.000518059240047418
unknown Clostridiales [meta_mOTU_v2_5347],0.0013345027691042182,0.000931096864172562,0.0,0.0016022853941371148,0.0011130297185627397
unknown Clostridiales [meta_mOTU_v2_5890],0.0,0.0001551595962856653,0.0,0.0,0.0
unknown Bacteroidales [meta_mOTU_v2_7353],0.0,0.0004837620444174287,0.0,0.0,0.00020602083783553707
unknown Massiliomicrobiota [meta_mOTU_v2_7010],0.001393605433528611,0.00042962144493618586,0.0006888291195983505,0.0,0.0012538552757726264
unknown Clostridiales [meta_mOTU_v2_7200],0.0,0.0,0.001442620282482875,0.0008815341787813174,0.0003413729128014843
unknown Clostridiales [meta_mOTU_v2_5754],0.0,0.0,0.0014336579255457068,0.0,0.0001068771324043245
Gemella morbillorum [ref_mOTU_v2_4513],0.02541695466910912,0.03491449890783005,0.005176660238845185,0.016570835726805427,0.0035771688413558924
Prevotella nigrescens [ref_mOTU_v2_0276],0.0006576345959633034,0.0013050788097862564,0.0012782620039040887,0.0,0.00023906705821768537
Prevotella intermedia [ref_mOTU_v2_0515],0.0012326086956521746,0.0036935557946760154,0.0011023670506429132,0.0,0.0005224032011960907
Fusobacterium nucleatum s. animalis [ref_mOTU_v2_0776],0.005494584476615922,0.010225882041973475,0.0002896568371082593,0.024691156470021746,0.005852114356673841
Porphyromonas somerae [ref_mOTU_v2_2101],0.01554639872903765,0.0001658405781101462,0.0012892556967280778,0.016600145137881002,0.00043787281345339054
Porphyromonas uenonis [ref_mOTU_v2_4616],0.007298639129533023,7.312682467284125e-05,0.0005605841445077436,0.0,0.002569514402318095
unknown Porphyromonas [meta_mOTU_v2_7777],0.0002849405023318067,0.0,0.0006532090832287962,0.0,0.00024618987379898197
Fusobacterium ulcerans [ref_mOTU_v2_1396],0.0003008971704623878,0.002007833717555707,0.0,0.0,0.0
Blautia producta [ref_mOTU_v2_1889],0.0007052277432712216,0.00044818545516253557,0.0,0.0,0.0027186630935322194
Eggerthella lenta [ref_mOTU_v2_0642],0.00266394030575996,0.0020994852491969477,0.0011675763135681615,0.0,0.0025024071781149697
Clostridium clostridioforme [ref_mOTU_v2_0980],0.0005342014982846734,0.00018403941444436293,0.0,0.0,0.00016964624191162622
Anaerostipes caccae [ref_mOTU_v2_1381],0.0,0.000813445626001101,0.00030151744660255085,0.0,0.0010439833936558764
Blautia producta [ref_mOTU_v2_4020],0.00029732921982449355,0.0007343538653114795,0.0,0.0,0.00234291625231762
Butyricicoccus pullicaecorum [ref_mOTU_v2_2510],0.0025710780345928343,0.0003728061290947339,0.0,0.0,0.00012698412698412706
unknown Clostridiales [meta_mOTU_v2_6629],0.0015176175092326983,0.0009640354418537731,0.00022446689113355778,0.0,0.004474935804599614
Lachnospiraceae bacterium 1_4_56FAA [ref_mOTU_v2_4723],0.0013886513437553134,0.0017485934647654322,0.00022277917014759118,0.001763068357562635,0.002451052900514006
Megasphaera massiliensis [ref_mOTU_v2_2684],0.0,0.0,0.00029624155641072537,0.0,0.0006978061562570951
Clostridium sp. AT4 [meta_mOTU_v2_7263],0.0008126910184363596,0.0009184359877937646,0.004083919902594797,0.004642746674914938,0.0011333976226389562
unknown Clostridiales [meta_mOTU_v2_5466],0.0014940241173850566,0.0005163611754090009,0.001035766058769146,0.001616145994432416,0.0016741334382885692
unknown Clostridiales [meta_mOTU_v2_7550],0.0009022978254757292,0.0,0.0008166666666666668,0.0,0.002482501103485191
unknown Clostridiales [meta_mOTU_v2_6548],0.0006861702520270299,0.00033297729534840234,0.0,0.0,0.0010968924904513
unknown Clostridiales [meta_mOTU_v2_6823],0.0002820910973084886,0.00047758716734295435,0.0,0.0,0.002543049980954756
Burkholderiales bacterium YL45 [meta_mOTU_v2_6818],0.0,0.0018641655697209595,0.0,0.0,0.0004328716595541852
unknown Clostridium [meta_mOTU_v2_5940],0.0,0.0,0.00028860028860028865,0.0,0.0004859055647012908
unknown Clostridiales [meta_mOTU_v2_6961],0.00035399667113222106,0.00010817362833183218,0.0,0.0,0.00011632320572412735
unknown Lachnospiraceae [meta_mOTU_v2_6615],0.0007897555694312078,0.001354962697117117,0.00030851501439736734,0.0,8.57555143269429e-05
unknown Clostridiales [meta_mOTU_v2_6975],0.0006886604883499295,0.0004178047579897688,0.0023904179601464148,0.0,0.0003897119797461149
Bifidobacterium sp. [ref_mOTU_v2_1180],0.0,0.0,0.0,0.0,0.0
unknown Clostridiales [meta_mOTU_v2_5511],0.0002507476420519898,0.00021257025392421695,0.0,0.0,0.00048537973556164206
Peptostreptococcus stomatis [ref_mOTU_v2_4614],0.009447692841311483,0.02654632124784488,0.015668114287406346,0.029491527175679367,0.002179166529999008
Solobacterium moorei [ref_mOTU_v2_0531],0.0005328387393604784,0.018765855305346014,0.015777703118981377,0.014033365678570405,0.0010527455864710025
Parvimonas sp. [ref_mOTU_v2_5245],0.0,0.0005656656786868793,0.0,0.0,0.0
unknown Dialister [meta_mOTU_v2_5867],0.002640862734342804,0.011088261652212257,0.014527715341235769,0.026404636893621946,0.005876841278137494
Anaerococcus obesiensis/vaginalis [ref_mOTU_v2_0429],0.013284567692294073,0.0005730529487838737,0.0008565224584538979,0.003580384972281042,0.0005401121901347882
Clostridiales bacterium S5-A14a [meta_mOTU_v2_5486],0.0018002998188432165,8.954555630176865e-05,0.0,0.0,0.0005582043274408728
Porphyromonas uenonis [ref_mOTU_v2_2102],0.00039179319070623393,0.0,0.0,0.0,0.00048078193294967493
unknown Sutterella [meta_mOTU_v2_5677],0.0,0.0,0.0,0.0,0.0001262188742414731
Coprobacillus sp. [ref_mOTU_v2_1401],0.0,0.000655680152354909,0.00022246941045606227,0.0,0.0006290718773736449
Clostridium innocuum [ref_mOTU_v2_0643],0.000409875953354214,0.0019212917920818232,0.0011113911290322582,0.0,0.0034972970382549425
unknown Clostridiales [meta_mOTU_v2_6867],0.0,0.00027445905236883345,0.0,0.0,0.0
Clostridium clostridioforme [ref_mOTU_v2_0979],0.0002820910973084886,0.005096127597842313,0.007367911079579365,0.0,0.001630537144963451
Erysipelotrichaceae sp. [ref_mOTU_v2_4724],0.00034477800782148615,0.0005457741709849671,0.002219206683147743,0.0018082752385257795,0.0013123191003686125
Clostridium scindens [ref_mOTU_v2_0883],0.0011458568639977937,0.008500391607808319,0.001662733024846083,0.0,0.002354361657406946
Bacteroides fragilis [ref_mOTU_v2_0287],0.004217676612103416,0.0022675592648534458,0.001764174753056874,0.016128439630567197,0.00361534299866275
unknown Clostridiales [meta_mOTU_v2_7553],0.0,0.0012780886427473507,0.0011983543417366958,0.0,0.010849397289804625
unknown Tyzzerella [meta_mOTU_v2_7425],0.0003206930369401765,0.0007468501928106778,0.001555308159830286,0.003753314141367009,0.0021562304065741488
Acidaminococcus intestini [ref_mOTU_v2_0391],0.0,0.003951069086685126,0.0010720125141255002,0.001660049853532505,0.0005405602399638309
Eubacterium sp. [ref_mOTU_v2_1395],0.0,0.0012603466780964185,0.0,0.0016864132115816514,0.001195501602989309
unknown Clostridiales [meta_mOTU_v2_7702],0.0011957872613928525,0.0,0.0023452333368173006,0.0,0.0012146615303253215
Clostridium spiroforme [ref_mOTU_v2_4235],0.0007313472893183038,0.001164402944753309,0.000625,0.0,0.0015728212680066816
Clostridiales bacterium VE202-14 [ref_mOTU_v2_2689],0.0,0.0013903324277447465,0.0006702960086418736,0.0,0.0010898279554763515
unknown Anaeromassilibacillus [meta_mOTU_v2_5357],0.0008959004294149223,0.0,0.0005680271197512572,0.0,0.0003650604009026948
Clostridium saccharolyticum [ref_mOTU_v2_1380],0.001738000155874552,0.0005350914034673892,0.0007318446946929919,0.0011753789050417567,0.00029547781350170414
unknown Ruminococcaceae [meta_mOTU_v2_6652],0.0008808314605416054,0.0003987538186504946,0.0018108299070400094,0.0013223012681719763,0.001390161924866981
unknown Clostridiales [meta_mOTU_v2_6371],0.001342528593253231,0.0012207891317318606,0.0006053011316169211,0.0,0.0007865639873287928
